sighting_id,vehicle_id,date,location_id,observed_driver,source
SIGHT_00043,VEH_0043,2026-02-21,LOC_0055,PERSON_00019,toll camera
SIGHT_00044,VEH_0044,2025-02-10,LOC_0062,PERSON_00032,CCTV summary
SIGHT_00045,VEH_0045,2022-05-14,LOC_0069,PERSON_00015,patrol note
SIGHT_00046,VEH_0046,2025-09-09,LOC_0076,PERSON_00058,CCTV summary
SIGHT_00047,VEH_0047,2023-10-21,LOC_0083,PERSON_00071,CCTV summary
SIGHT_00048,VEH_0048,2025-10-02,LOC_0090,PERSON_00084,toll camera
SIGHT_00049,VEH_0049,2024-05-28,LOC_0097,PERSON_00139,toll camera
SIGHT_00050,VEH_0050,2022-03-03,LOC_0104,PERSON_00382,toll camera
SIGHT_00051,VEH_0051,2024-07-13,LOC_0111,PERSON_00110,CCTV summary
SIGHT_00052,VEH_0052,2026-03-21,LOC_0118,PERSON_00123,CCTV summary
SIGHT_00053,VEH_0053,2021-10-23,LOC_0005,PERSON_00263,patrol note
SIGHT_00054,VEH_0054,2022-10-30,LOC_0012,PERSON_00149,parking record
SIGHT_00055,VEH_0055,2024-10-06,LOC_0019,PERSON_00162,toll camera
SIGHT_00056,VEH_0056,2023-01-31,LOC_0026,PERSON_00175,parking record
SIGHT_00057,VEH_0057,2024-01-03,LOC_0033,PERSON_00387,CCTV summary
SIGHT_00058,VEH_0058,2023-12-07,LOC_0040,PERSON_00065,patrol note
SIGHT_00059,VEH_0059,2026-04-26,LOC_0047,PERSON_00201,patrol note
SIGHT_00060,VEH_0060,2023-03-12,LOC_0054,PERSON_00214,CCTV summary
SIGHT_00061,VEH_0061,2024-06-10,LOC_0061,PERSON_00061,parking record
SIGHT_00062,VEH_0062,2021-10-31,LOC_0068,PERSON_00240,toll camera
SIGHT_00063,VEH_0063,2023-02-09,LOC_0075,PERSON_00253,parking record
SIGHT_00064,VEH_0064,2025-07-05,LOC_0082,PERSON_00266,patrol note
SIGHT_00065,VEH_0065,2024-07-03,LOC_0089,PERSON_00185,parking record
SIGHT_00066,VEH_0066,2026-04-03,LOC_0096,PERSON_00198,CCTV summary
SIGHT_00067,VEH_0067,2025-09-01,LOC_0103,PERSON_00292,toll camera
SIGHT_00068,VEH_0068,2022-01-29,LOC_0110,PERSON_00305,patrol note
SIGHT_00069,VEH_0069,2023-06-21,LOC_0117,PERSON_00309,toll camera
SIGHT_00070,VEH_0070,2022-02-05,LOC_0004,PERSON_00331,parking record
SIGHT_00071,VEH_0071,2025-10-17,LOC_0011,PERSON_00344,toll camera
SIGHT_00072,VEH_0072,2024-03-27,LOC_0018,PERSON_00357,parking record
SIGHT_00073,VEH_0073,2024-05-18,LOC_0025,PERSON_00433,patrol note
SIGHT_00074,VEH_0074,2024-11-21,LOC_0032,PERSON_00331,toll camera
SIGHT_00075,VEH_0075,2024-03-03,LOC_0039,PERSON_00383,patrol note
SIGHT_00076,VEH_0076,2022-03-29,LOC_0046,PERSON_00396,CCTV summary
SIGHT_00077,VEH_0077,2022-01-13,LOC_0053,PERSON_00107,CCTV summary
SIGHT_00078,VEH_0078,2023-05-03,LOC_0060,PERSON_00422,parking record
SIGHT_00079,VEH_0079,2025-10-19,LOC_0067,PERSON_00435,patrol note
SIGHT_00080,VEH_0080,2024-08-21,LOC_0074,PERSON_00448,patrol note
SIGHT_00081,VEH_0081,2025-06-15,LOC_0081,PERSON_00231,toll camera
SIGHT_00082,VEH_0082,2023-11-03,LOC_0088,PERSON_00014,patrol note
SIGHT_00083,VEH_0083,2021-07-10,LOC_0095,PERSON_00024,patrol note
SIGHT_00084,VEH_0084,2024-06-07,LOC_0102,PERSON_00037,patrol note
SIGHT_00085,VEH_0085,2023-12-21,LOC_0109,PERSON_00355,patrol note
SIGHT_00086,VEH_0086,2024-03-23,LOC_0116,PERSON_00063,CCTV summary
SIGHT_00087,VEH_0087,2021-01-04,LOC_0003,PERSON_00076,toll camera
SIGHT_00088,VEH_0088,2022-11-15,LOC_0010,PERSON_00089,CCTV summary
SIGHT_00089,VEH_0089,2024-11-27,LOC_0017,PERSON_00029,parking record
SIGHT_00090,VEH_0090,2023-11-04,LOC_0024,PERSON_00147,toll camera
SIGHT_00091,VEH_0091,2024-07-03,LOC_0031,PERSON_00115,patrol note
SIGHT_00092,VEH_0092,2021-02-12,LOC_0038,PERSON_00128,toll camera
SIGHT_00093,VEH_0093,2025-01-16,LOC_0045,PERSON_00153,CCTV summary
SIGHT_00094,VEH_0094,2025-07-03,LOC_0052,PERSON_00154,parking record
SIGHT_00095,VEH_0095,2021-05-01,LOC_0059,PERSON_00167,toll camera
SIGHT_00096,VEH_0096,2022-04-17,LOC_0066,PERSON_00180,patrol note
SIGHT_00097,VEH_0097,2025-07-27,LOC_0073,PERSON_00277,toll camera
SIGHT_00098,VEH_0098,2024-12-22,LOC_0080,PERSON_00280,CCTV summary
SIGHT_00099,VEH_0099,2025-06-23,LOC_0087,PERSON_00206,parking record
SIGHT_00100,VEH_0100,2024-11-03,LOC_0094,PERSON_00219,toll camera
SIGHT_00101,VEH_0101,2025-07-23,LOC_0101,PERSON_00401,parking record
SIGHT_00102,VEH_0102,2022-05-09,LOC_0108,PERSON_00245,CCTV summary
SIGHT_00103,VEH_0103,2024-04-02,LOC_0115,PERSON_00258,parking record
SIGHT_00104,VEH_0104,2022-02-16,LOC_0002,PERSON_00271,toll camera
SIGHT_00105,VEH_0105,2025-12-12,LOC_0009,PERSON_00075,CCTV summary
SIGHT_00106,VEH_0106,2025-07-13,LOC_0016,PERSON_00413,CCTV summary
SIGHT_00107,VEH_0107,2024-11-07,LOC_0023,PERSON_00297,parking record
SIGHT_00108,VEH_0108,2021-10-19,LOC_0030,PERSON_00310,patrol note
SIGHT_00109,VEH_0109,2022-01-21,LOC_0037,PERSON_00199,CCTV summary
SIGHT_00110,VEH_0110,2024-12-17,LOC_0044,PERSON_00336,toll camera
SIGHT_00111,VEH_0111,2024-03-23,LOC_0051,PERSON_00349,toll camera
SIGHT_00112,VEH_0112,2022-10-14,LOC_0058,PERSON_00362,patrol note
SIGHT_00113,VEH_0113,2023-06-23,LOC_0065,PERSON_00323,parking record
SIGHT_00114,VEH_0114,2026-02-19,LOC_0072,PERSON_00096,CCTV summary
SIGHT_00115,VEH_0115,2025-09-16,LOC_0079,PERSON_00388,parking record
SIGHT_00116,VEH_0116,2022-10-06,LOC_0086,PERSON_00401,parking record
SIGHT_00117,VEH_0117,2021-03-24,LOC_0093,PERSON_00447,toll camera
SIGHT_00118,VEH_0118,2021-08-22,LOC_0100,PERSON_00427,CCTV summary
SIGHT_00119,VEH_0119,2023-01-25,LOC_0107,PERSON_00440,patrol note
SIGHT_00120,VEH_0120,2026-05-03,LOC_0114,PERSON_00003,toll camera
SIGHT_00121,VEH_0121,2026-04-18,LOC_0001,PERSON_00121,patrol note
SIGHT_00122,VEH_0122,2022-08-12,LOC_0008,PERSON_00229,parking record
SIGHT_00123,VEH_0123,2026-05-01,LOC_0015,PERSON_00029,CCTV summary
SIGHT_00124,VEH_0124,2024-04-21,LOC_0022,PERSON_00042,toll camera
SIGHT_00125,VEH_0125,2025-04-13,LOC_0029,PERSON_00245,toll camera
SIGHT_00126,VEH_0126,2023-01-13,LOC_0036,PERSON_00068,CCTV summary
SIGHT_00127,VEH_0127,2021-06-13,LOC_0043,PERSON_00081,toll camera
SIGHT_00128,VEH_0128,2025-08-16,LOC_0050,PERSON_00094,CCTV summary
SIGHT_00129,VEH_0129,2021-11-14,LOC_0057,PERSON_00369,patrol note
SIGHT_00130,VEH_0130,2022-02-13,LOC_0064,PERSON_00362,toll camera
SIGHT_00131,VEH_0131,2021-01-21,LOC_0071,PERSON_00120,CCTV summary
SIGHT_00132,VEH_0132,2026-03-02,LOC_0078,PERSON_00133,toll camera
SIGHT_00133,VEH_0133,2024-10-02,LOC_0085,PERSON_00043,patrol note
SIGHT_00134,VEH_0134,2025-05-28,LOC_0092,PERSON_00159,CCTV summary
SIGHT_00135,VEH_0135,2021-07-01,LOC_0099,PERSON_00172,patrol note
SIGHT_00136,VEH_0136,2025-07-03,LOC_0106,PERSON_00185,toll camera
SIGHT_00137,VEH_0137,2024-09-02,LOC_0113,PERSON_00167,CCTV summary
SIGHT_00138,VEH_0138,2021-06-18,LOC_0120,PERSON_00045,parking record
SIGHT_00139,VEH_0139,2024-01-24,LOC_0007,PERSON_00211,patrol note
SIGHT_00140,VEH_0140,2022-01-03,LOC_0014,PERSON_00224,patrol note
SIGHT_00141,VEH_0141,2026-01-08,LOC_0021,PERSON_00291,toll camera
SIGHT_00142,VEH_0142,2024-07-09,LOC_0028,PERSON_00250,toll camera
SIGHT_00143,VEH_0143,2024-02-27,LOC_0035,PERSON_00263,CCTV summary
SIGHT_00144,VEH_0144,2023-03-05,LOC_0042,PERSON_00276,parking record
SIGHT_00145,VEH_0145,2024-04-04,LOC_0049,PERSON_00415,CCTV summary
SIGHT_00146,VEH_0146,2022-09-08,LOC_0056,PERSON_00178,parking record
SIGHT_00147,VEH_0147,2026-04-11,LOC_0063,PERSON_00302,parking record
SIGHT_00148,VEH_0148,2022-02-03,LOC_0070,PERSON_00315,toll camera
SIGHT_00149,VEH_0149,2026-05-15,LOC_0077,PERSON_00089,CCTV summary
SIGHT_00150,VEH_0150,2024-09-11,LOC_0084,PERSON_00341,toll camera
SIGHT_00151,VEH_0151,2022-02-20,LOC_0091,PERSON_00354,toll camera
SIGHT_00152,VEH_0152,2022-01-29,LOC_0098,PERSON_00367,CCTV summary
SIGHT_00153,VEH_0153,2024-11-04,LOC_0105,PERSON_00213,CCTV summary
SIGHT_00154,VEH_0154,2021-11-15,LOC_0112,PERSON_00311,toll camera
SIGHT_00155,VEH_0155,2022-03-01,LOC_0119,PERSON_00393,toll camera
SIGHT_00156,VEH_0156,2026-05-03,LOC_0006,PERSON_00406,parking record
SIGHT_00157,VEH_0157,2023-09-23,LOC_0013,PERSON_00337,patrol note
SIGHT_00158,VEH_0158,2022-11-29,LOC_0020,PERSON_00432,parking record
SIGHT_00159,VEH_0159,2024-05-12,LOC_0027,PERSON_00445,toll camera
SIGHT_00160,VEH_0160,2021-10-09,LOC_0034,PERSON_00008,toll camera
SIGHT_00161,VEH_0161,2023-05-13,LOC_0041,PERSON_00011,parking record
SIGHT_00162,VEH_0162,2026-03-17,LOC_0048,PERSON_00444,CCTV summary
SIGHT_00163,VEH_0163,2026-01-08,LOC_0055,PERSON_00034,CCTV summary
SIGHT_00164,VEH_0164,2024-01-09,LOC_0062,PERSON_00047,toll camera
SIGHT_00165,VEH_0165,2024-05-08,LOC_0069,PERSON_00135,CCTV summary
SIGHT_00166,VEH_0166,2024-01-05,LOC_0076,PERSON_00073,patrol note
SIGHT_00167,VEH_0167,2021-12-29,LOC_0083,PERSON_00086,toll camera
SIGHT_00168,VEH_0168,2021-03-30,LOC_0090,PERSON_00099,CCTV summary
SIGHT_00169,VEH_0169,2023-02-06,LOC_0097,PERSON_00259,CCTV summary
SIGHT_00170,VEH_0170,2024-02-04,LOC_0104,PERSON_00127,parking record
SIGHT_00171,VEH_0171,2025-11-03,LOC_0111,PERSON_00125,parking record
SIGHT_00172,VEH_0172,2026-06-27,LOC_0118,PERSON_00138,toll camera
SIGHT_00173,VEH_0173,2026-05-13,LOC_0005,PERSON_00383,parking record
SIGHT_00174,VEH_0174,2026-01-11,LOC_0012,PERSON_00164,CCTV summary
SIGHT_00175,VEH_0175,2022-05-13,LOC_0019,PERSON_00177,toll camera
SIGHT_00176,VEH_0176,2023-10-06,LOC_0026,PERSON_00190,toll camera
SIGHT_00177,VEH_0177,2023-06-29,LOC_0033,PERSON_00057,patrol note
SIGHT_00178,VEH_0178,2024-04-18,LOC_0040,PERSON_00260,parking record
SIGHT_00179,VEH_0179,2021-08-09,LOC_0047,PERSON_00216,parking record
SIGHT_00180,VEH_0180,2021-12-17,LOC_0054,PERSON_00229,CCTV summary
SIGHT_00181,VEH_0181,2026-04-24,LOC_0061,PERSON_00181,parking record
SIGHT_00182,VEH_0182,2026-02-05,LOC_0068,PERSON_00255,parking record
SIGHT_00183,VEH_0183,2023-06-22,LOC_0075,PERSON_00268,parking record
SIGHT_00184,VEH_0184,2023-12-13,LOC_0082,PERSON_00281,patrol note
SIGHT_00185,VEH_0185,2026-01-21,LOC_0089,PERSON_00305,patrol note
SIGHT_00186,VEH_0186,2024-10-19,LOC_0096,PERSON_00393,patrol note
SIGHT_00187,VEH_0187,2021-04-21,LOC_0103,PERSON_00307,parking record
SIGHT_00188,VEH_0188,2021-11-17,LOC_0110,PERSON_00320,parking record
SIGHT_00189,VEH_0189,2026-02-18,LOC_0117,PERSON_00429,toll camera
SIGHT_00190,VEH_0190,2021-10-10,LOC_0004,PERSON_00346,CCTV summary
SIGHT_00191,VEH_0191,2023-02-26,LOC_0011,PERSON_00359,parking record
SIGHT_00192,VEH_0192,2023-10-03,LOC_0018,PERSON_00372,parking record
SIGHT_00193,VEH_0193,2021-10-26,LOC_0025,PERSON_00103,CCTV summary
SIGHT_00194,VEH_0194,2023-08-19,LOC_0032,PERSON_00076,patrol note
SIGHT_00195,VEH_0195,2025-11-01,LOC_0039,PERSON_00398,parking record
SIGHT_00196,VEH_0196,2023-05-22,LOC_0046,PERSON_00411,patrol note
SIGHT_00197,VEH_0197,2025-01-08,LOC_0053,PERSON_00227,parking record
SIGHT_00198,VEH_0198,2022-09-23,LOC_0060,PERSON_00437,parking record
SIGHT_00199,VEH_0199,2021-02-19,LOC_0067,PERSON_00450,patrol note
SIGHT_00200,VEH_0200,2024-08-28,LOC_0074,PERSON_00013,CCTV summary
SIGHT_00201,VEH_0201,2023-01-30,LOC_0081,PERSON_00351,parking record
SIGHT_00202,VEH_0202,2025-11-08,LOC_0088,PERSON_00209,toll camera
SIGHT_00203,VEH_0203,2023-01-04,LOC_0095,PERSON_00039,CCTV summary
SIGHT_00204,VEH_0204,2025-01-15,LOC_0102,PERSON_00052,CCTV summary
SIGHT_00205,VEH_0205,2025-07-12,LOC_0109,PERSON_00025,toll camera
SIGHT_00206,VEH_0206,2024-03-23,LOC_0116,PERSON_00078,CCTV summary
SIGHT_00207,VEH_0207,2024-08-04,LOC_0003,PERSON_00091,CCTV summary
SIGHT_00208,VEH_0208,2024-04-27,LOC_0010,PERSON_00104,toll camera
SIGHT_00209,VEH_0209,2022-03-23,LOC_0017,PERSON_00149,parking record
SIGHT_00210,VEH_0210,2024-01-10,LOC_0024,PERSON_00342,parking record
SIGHT_00211,VEH_0211,2025-08-15,LOC_0031,PERSON_00130,CCTV summary
SIGHT_00212,VEH_0212,2025-12-09,LOC_0038,PERSON_00143,parking record
SIGHT_00213,VEH_0213,2026-06-18,LOC_0045,PERSON_00273,toll camera
SIGHT_00214,VEH_0214,2024-09-17,LOC_0052,PERSON_00169,patrol note
SIGHT_00215,VEH_0215,2022-04-23,LOC_0059,PERSON_00182,parking record
SIGHT_00216,VEH_0216,2022-01-02,LOC_0066,PERSON_00195,patrol note
SIGHT_00217,VEH_0217,2022-08-07,LOC_0073,PERSON_00397,CCTV summary
SIGHT_00218,VEH_0218,2025-09-20,LOC_0080,PERSON_00025,toll camera
SIGHT_00219,VEH_0219,2023-05-25,LOC_0087,PERSON_00221,toll camera
SIGHT_00220,VEH_0220,2023-03-23,LOC_0094,PERSON_00234,toll camera
SIGHT_00221,VEH_0221,2022-12-04,LOC_0101,PERSON_00071,toll camera
SIGHT_00222,VEH_0222,2023-08-12,LOC_0108,PERSON_00260,parking record
SIGHT_00223,VEH_0223,2023-01-30,LOC_0115,PERSON_00273,CCTV summary
SIGHT_00224,VEH_0224,2022-08-15,LOC_0002,PERSON_00286,parking record
SIGHT_00225,VEH_0225,2023-07-17,LOC_0009,PERSON_00195,toll camera
SIGHT_00226,VEH_0226,2026-02-13,LOC_0016,PERSON_00158,CCTV summary
SIGHT_00227,VEH_0227,2024-02-15,LOC_0023,PERSON_00312,patrol note
SIGHT_00228,VEH_0228,2023-11-04,LOC_0030,PERSON_00325,CCTV summary
SIGHT_00229,VEH_0229,2021-02-20,LOC_0037,PERSON_00319,parking record
SIGHT_00230,VEH_0230,2021-08-24,LOC_0044,PERSON_00351,toll camera
SIGHT_00231,VEH_0001,2026-05-22,LOC_0051,PERSON_00364,toll camera
SIGHT_00232,VEH_0002,2022-05-30,LOC_0058,PERSON_00377,parking record
SIGHT_00233,VEH_0003,2021-05-17,LOC_0065,PERSON_00443,toll camera
SIGHT_00234,VEH_0004,2022-05-03,LOC_0072,PERSON_00291,CCTV summary
SIGHT_00235,VEH_0005,2025-05-18,LOC_0079,PERSON_00403,patrol note
SIGHT_00236,VEH_0006,2022-10-13,LOC_0086,PERSON_00416,parking record
SIGHT_00237,VEH_0007,2021-12-12,LOC_0093,PERSON_00117,patrol note
SIGHT_00238,VEH_0008,2021-02-03,LOC_0100,PERSON_00442,toll camera
SIGHT_00239,VEH_0009,2021-08-11,LOC_0107,PERSON_00005,CCTV summary
SIGHT_00240,VEH_0010,2022-12-17,LOC_0114,PERSON_00018,patrol note
SIGHT_00241,VEH_0011,2024-12-03,LOC_0001,PERSON_00241,parking record
SIGHT_00242,VEH_0012,2024-12-14,LOC_0008,PERSON_00424,toll camera
SIGHT_00243,VEH_0013,2022-06-24,LOC_0015,PERSON_00044,CCTV summary
SIGHT_00244,VEH_0014,2024-06-15,LOC_0022,PERSON_00057,CCTV summary
SIGHT_00245,VEH_0015,2021-12-20,LOC_0029,PERSON_00365,parking record
SIGHT_00246,VEH_0016,2025-08-22,LOC_0036,PERSON_00083,toll camera
SIGHT_00247,VEH_0017,2025-07-01,LOC_0043,PERSON_00096,toll camera
SIGHT_00248,VEH_0018,2025-08-20,LOC_0050,PERSON_00109,parking record
SIGHT_00249,VEH_0019,2023-06-11,LOC_0057,PERSON_00039,CCTV summary
SIGHT_00250,VEH_0020,2024-05-28,LOC_0064,PERSON_00107,parking record
SIGHT_00251,VEH_0021,2025-09-23,LOC_0071,PERSON_00135,CCTV summary
SIGHT_00252,VEH_0022,2024-04-29,LOC_0078,PERSON_00148,parking record
SIGHT_00253,VEH_0023,2025-01-03,LOC_0085,PERSON_00163,patrol note
SIGHT_00254,VEH_0024,2022-02-18,LOC_0092,PERSON_00174,parking record
SIGHT_00255,VEH_0025,2025-01-26,LOC_0099,PERSON_00187,parking record
SIGHT_00256,VEH_0026,2024-11-25,LOC_0106,PERSON_00200,patrol note
SIGHT_00257,VEH_0027,2022-12-04,LOC_0113,PERSON_00287,parking record
SIGHT_00258,VEH_0028,2025-03-10,LOC_0120,PERSON_00240,parking record
SIGHT_00259,VEH_0029,2025-06-10,LOC_0007,PERSON_00226,CCTV summary
SIGHT_00260,VEH_0030,2024-06-12,LOC_0014,PERSON_00239,patrol note
SIGHT_00261,VEH_0031,2024-09-30,LOC_0021,PERSON_00411,parking record
SIGHT_00262,VEH_0032,2025-07-12,LOC_0028,PERSON_00265,CCTV summary
SIGHT_00263,VEH_0033,2025-12-07,LOC_0035,PERSON_00278,patrol note
SIGHT_00264,VEH_0034,2024-05-03,LOC_0042,PERSON_00001,CCTV summary
SIGHT_00265,VEH_0035,2023-06-13,LOC_0049,PERSON_00085,patrol note
SIGHT_00266,VEH_0036,2021-12-27,LOC_0056,PERSON_00014,parking record
SIGHT_00267,VEH_0037,2026-03-26,LOC_0063,PERSON_00027,CCTV summary
SIGHT_00268,VEH_0038,2025-07-11,LOC_0070,PERSON_00040,CCTV summary
SIGHT_00269,VEH_0039,2026-05-22,LOC_0077,PERSON_00209,toll camera
SIGHT_00270,VEH_0040,2025-12-12,LOC_0084,PERSON_00066,CCTV summary
SIGHT_00271,VEH_0041,2023-04-07,LOC_0091,PERSON_00079,patrol note
SIGHT_00272,VEH_0042,2024-10-13,LOC_0098,PERSON_00092,parking record
SIGHT_00273,VEH_0043,2023-01-04,LOC_0105,PERSON_00333,CCTV summary
SIGHT_00274,VEH_0044,2023-02-23,LOC_0112,PERSON_00105,CCTV summary
SIGHT_00275,VEH_0045,2022-03-21,LOC_0119,PERSON_00118,parking record
SIGHT_00276,VEH_0046,2024-03-08,LOC_0006,PERSON_00131,CCTV summary
SIGHT_00277,VEH_0047,2022-04-13,LOC_0013,PERSON_00007,patrol note
SIGHT_00278,VEH_0048,2021-04-12,LOC_0020,PERSON_00157,CCTV summary
SIGHT_00279,VEH_0049,2021-12-09,LOC_0027,PERSON_00170,CCTV summary
SIGHT_00280,VEH_0050,2022-10-12,LOC_0034,PERSON_00183,patrol note
SIGHT_00281,VEH_0051,2024-08-03,LOC_0041,PERSON_00131,toll camera
SIGHT_00282,VEH_0052,2024-11-19,LOC_0048,PERSON_00196,parking record
SIGHT_00283,VEH_0053,2025-05-16,LOC_0055,PERSON_00209,CCTV summary
SIGHT_00284,VEH_0054,2021-06-25,LOC_0062,PERSON_00222,toll camera
SIGHT_00285,VEH_0055,2025-12-13,LOC_0069,PERSON_00255,toll camera
SIGHT_00286,VEH_0056,2024-09-22,LOC_0076,PERSON_00248,CCTV summary
SIGHT_00287,VEH_0057,2021-07-27,LOC_0083,PERSON_00261,patrol note
SIGHT_00288,VEH_0058,2024-05-26,LOC_0090,PERSON_00274,toll camera
SIGHT_00289,VEH_0059,2025-03-03,LOC_0097,PERSON_00379,toll camera
SIGHT_00290,VEH_0060,2022-04-28,LOC_0104,PERSON_00287,parking record
SIGHT_00291,VEH_0061,2026-05-27,LOC_0111,PERSON_00300,CCTV summary
SIGHT_00292,VEH_0062,2022-10-25,LOC_0118,PERSON_00313,toll camera
SIGHT_00293,VEH_0063,2023-09-22,LOC_0005,PERSON_00053,patrol note
SIGHT_00294,VEH_0064,2026-05-20,LOC_0012,PERSON_00339,CCTV summary
SIGHT_00295,VEH_0065,2021-06-27,LOC_0019,PERSON_00352,toll camera
SIGHT_00296,VEH_0066,2023-04-14,LOC_0026,PERSON_00365,toll camera
SIGHT_00297,VEH_0067,2026-05-20,LOC_0033,PERSON_00177,toll camera
SIGHT_00298,VEH_0068,2022-09-20,LOC_0040,PERSON_00378,CCTV summary
SIGHT_00299,VEH_0069,2026-04-03,LOC_0047,PERSON_00391,CCTV summary
SIGHT_00300,VEH_0070,2023-02-28,LOC_0054,PERSON_00404,toll camera
SIGHT_00301,VEH_0071,2021-09-01,LOC_0061,PERSON_00301,CCTV summary
SIGHT_00302,VEH_0072,2025-02-12,LOC_0068,PERSON_00430,CCTV summary
SIGHT_00303,VEH_0073,2023-11-13,LOC_0075,PERSON_00443,CCTV summary
SIGHT_00304,VEH_0074,2026-02-27,LOC_0082,PERSON_00006,toll camera
SIGHT_00305,VEH_0075,2021-11-26,LOC_0089,PERSON_00425,parking record
SIGHT_00306,VEH_0076,2023-07-23,LOC_0096,PERSON_00019,CCTV summary
SIGHT_00307,VEH_0077,2021-06-17,LOC_0103,PERSON_00032,parking record
SIGHT_00308,VEH_0078,2023-06-12,LOC_0110,PERSON_00045,CCTV summary
SIGHT_00309,VEH_0079,2021-10-25,LOC_0117,PERSON_00099,patrol note
SIGHT_00310,VEH_0080,2024-07-16,LOC_0004,PERSON_00071,toll camera
SIGHT_00311,VEH_0081,2021-08-13,LOC_0011,PERSON_00084,patrol note
SIGHT_00312,VEH_0082,2021-06-03,LOC_0018,PERSON_00097,parking record
SIGHT_00313,VEH_0083,2025-07-01,LOC_0025,PERSON_00223,parking record
SIGHT_00314,VEH_0084,2025-05-02,LOC_0032,PERSON_00110,parking record
SIGHT_00315,VEH_0085,2024-09-02,LOC_0039,PERSON_00123,toll camera
SIGHT_00316,VEH_0086,2026-02-03,LOC_0046,PERSON_00136,CCTV summary
SIGHT_00317,VEH_0087,2023-09-29,LOC_0053,PERSON_00347,patrol note
SIGHT_00318,VEH_0088,2023-01-22,LOC_0060,PERSON_00162,parking record
SIGHT_00319,VEH_0089,2021-12-16,LOC_0067,PERSON_00175,CCTV summary
SIGHT_00320,VEH_0090,2025-05-26,LOC_0074,PERSON_00188,patrol note
SIGHT_00321,VEH_0091,2023-08-30,LOC_0081,PERSON_00021,CCTV summary
