travel_id,person_id,date,mode,origin,destination
TRV_0091,PERSON_00181,2023-02-05,Bus,Mumbai,Bengaluru
TRV_0092,PERSON_00188,2021-07-07,Rail,Kolkata,Hyderabad
TRV_0093,PERSON_00195,2024-06-11,Bus,Chennai,Raipur
TRV_0094,PERSON_00202,2021-11-01,Rail,Patna,Panaji
TRV_0095,PERSON_00209,2024-11-12,Flight,Kolkata,Patna
TRV_0096,PERSON_00216,2024-09-19,Rail,Chennai,Indore
TRV_0097,PERSON_00223,2024-11-26,Rail,Hyderabad,Patna
TRV_0098,PERSON_00230,2023-01-02,Flight,Vijayawada,Hyderabad
TRV_0099,PERSON_00237,2024-03-04,Hotel,Ranchi,Delhi
TRV_0100,PERSON_00244,2021-08-11,Rail,Kochi,Hyderabad
TRV_0101,PERSON_00251,2023-01-31,Flight,Kolkata,Bhubaneswar
TRV_0102,PERSON_00258,2024-11-11,Rail,Bhubaneswar,Vijayawada
TRV_0103,PERSON_00265,2021-01-24,Flight,Indore,Mumbai
TRV_0104,PERSON_00272,2023-07-07,Bus,Patna,Noida
TRV_0105,PERSON_00279,2025-12-02,Rail,Bhubaneswar,Patna
TRV_0106,PERSON_00286,2024-07-13,Rail,Patna,Bengaluru
TRV_0107,PERSON_00293,2023-04-23,Flight,Panaji,Ahmedabad
TRV_0108,PERSON_00300,2024-05-26,Hotel,Mumbai,Ranchi
TRV_0109,PERSON_00307,2024-06-12,Flight,Kochi,Ranchi
TRV_0110,PERSON_00314,2024-09-10,Bus,Kolkata,Kolkata
TRV_0111,PERSON_00321,2024-08-08,Rail,Indore,Jaipur
TRV_0112,PERSON_00328,2025-12-07,Rail,Indore,Ahmedabad
TRV_0113,PERSON_00335,2021-11-24,Bus,Hyderabad,Raipur
TRV_0114,PERSON_00342,2024-06-20,Flight,Hyderabad,Chennai
TRV_0115,PERSON_00349,2022-08-26,Hotel,Bhubaneswar,Noida
TRV_0116,PERSON_00356,2023-11-16,Hotel,Kolkata,Ranchi
TRV_0117,PERSON_00363,2023-04-05,Bus,Bengaluru,Vijayawada
TRV_0118,PERSON_00370,2021-12-07,Hotel,Kolkata,Vijayawada
TRV_0119,PERSON_00377,2024-11-15,Rail,Kolkata,Delhi
TRV_0120,PERSON_00384,2023-12-11,Flight,Mumbai,Patna
TRV_0121,PERSON_00391,2023-09-19,Flight,Ranchi,Indore
TRV_0122,PERSON_00398,2025-09-10,Bus,Ahmedabad,Panaji
TRV_0123,PERSON_00405,2024-07-28,Bus,Chennai,Indore
TRV_0124,PERSON_00412,2022-03-30,Bus,Bhubaneswar,Jaipur
TRV_0125,PERSON_00419,2025-11-27,Rail,Patna,Raipur
TRV_0126,PERSON_00426,2023-04-03,Hotel,Panaji,Jaipur
TRV_0127,PERSON_00433,2022-08-01,Rail,Kochi,Bengaluru
TRV_0128,PERSON_00440,2023-03-02,Rail,Noida,Chennai
TRV_0129,PERSON_00447,2026-01-10,Rail,Bhubaneswar,Ranchi
TRV_0130,PERSON_00004,2025-02-06,Flight,Vijayawada,Mumbai
TRV_0131,PERSON_00011,2022-09-16,Rail,Hyderabad,Panaji
TRV_0132,PERSON_00018,2021-08-31,Flight,Hyderabad,Ranchi
TRV_0133,PERSON_00025,2022-08-23,Hotel,Jaipur,Kochi
TRV_0134,PERSON_00032,2023-01-01,Hotel,Patna,Hyderabad
TRV_0135,PERSON_00039,2021-05-10,Flight,Kochi,Delhi
TRV_0136,PERSON_00046,2023-07-01,Flight,Hyderabad,Panaji
TRV_0137,PERSON_00053,2022-12-03,Flight,Kolkata,Patna
TRV_0138,PERSON_00060,2022-03-07,Bus,Chennai,Noida
TRV_0139,PERSON_00067,2021-12-11,Hotel,Patna,Noida
TRV_0140,PERSON_00074,2025-01-30,Flight,Ranchi,Chennai
TRV_0141,PERSON_00081,2021-07-26,Rail,Raipur,Raipur
TRV_0142,PERSON_00088,2022-07-12,Flight,Chennai,Patna
TRV_0143,PERSON_00095,2026-04-26,Hotel,Kochi,Indore
TRV_0144,PERSON_00102,2023-02-04,Rail,Hyderabad,Panaji
TRV_0145,PERSON_00109,2026-05-27,Hotel,Mumbai,Jaipur
TRV_0146,PERSON_00116,2021-01-06,Hotel,Patna,Bhubaneswar
TRV_0147,PERSON_00123,2023-07-17,Rail,Indore,Panaji
TRV_0148,PERSON_00130,2023-01-07,Rail,Hyderabad,Ranchi
TRV_0149,PERSON_00137,2025-11-16,Bus,Bengaluru,Bengaluru
TRV_0150,PERSON_00144,2026-06-08,Bus,Vijayawada,Raipur
TRV_0151,PERSON_00151,2023-11-14,Bus,Vijayawada,Indore
TRV_0152,PERSON_00158,2025-03-31,Rail,Mumbai,Patna
TRV_0153,PERSON_00165,2023-09-29,Bus,Bhubaneswar,Ahmedabad
TRV_0154,PERSON_00172,2024-04-27,Flight,Mumbai,Ranchi
TRV_0155,PERSON_00179,2022-03-10,Hotel,Jaipur,Bhubaneswar
TRV_0156,PERSON_00186,2025-04-14,Rail,Patna,Hyderabad
TRV_0157,PERSON_00193,2026-03-08,Hotel,Kolkata,Patna
TRV_0158,PERSON_00200,2022-12-06,Hotel,Mumbai,Mumbai
TRV_0159,PERSON_00207,2025-01-04,Hotel,Noida,Panaji
TRV_0160,PERSON_00214,2026-02-03,Bus,Vijayawada,Chennai
TRV_0161,PERSON_00221,2023-05-20,Rail,Ranchi,Hyderabad
TRV_0162,PERSON_00228,2021-11-05,Hotel,Bhubaneswar,Indore
TRV_0163,PERSON_00235,2023-08-01,Bus,Ahmedabad,Indore
TRV_0164,PERSON_00242,2025-07-09,Hotel,Bhubaneswar,Noida
TRV_0165,PERSON_00249,2021-05-28,Bus,Noida,Chennai
TRV_0166,PERSON_00256,2022-05-19,Bus,Panaji,Vijayawada
TRV_0167,PERSON_00263,2026-01-23,Rail,Bengaluru,Panaji
TRV_0168,PERSON_00270,2024-10-29,Flight,Bhubaneswar,Kolkata
TRV_0169,PERSON_00277,2023-10-02,Flight,Delhi,Noida
TRV_0170,PERSON_00284,2024-06-27,Rail,Kolkata,Hyderabad
TRV_0171,PERSON_00291,2021-12-29,Hotel,Hyderabad,Delhi
TRV_0172,PERSON_00298,2024-08-06,Bus,Vijayawada,Ahmedabad
TRV_0173,PERSON_00305,2026-06-01,Hotel,Ahmedabad,Raipur
TRV_0174,PERSON_00312,2023-04-21,Flight,Vijayawada,Chennai
TRV_0175,PERSON_00319,2021-04-29,Bus,Kolkata,Mumbai
TRV_0176,PERSON_00326,2022-11-10,Flight,Ranchi,Panaji
TRV_0177,PERSON_00333,2022-02-12,Hotel,Raipur,Hyderabad
TRV_0178,PERSON_00340,2023-04-14,Rail,Ranchi,Mumbai
TRV_0179,PERSON_00347,2021-07-16,Rail,Kolkata,Noida
TRV_0180,PERSON_00354,2022-08-26,Hotel,Kochi,Mumbai
TRV_0181,PERSON_00361,2025-03-03,Rail,Bhubaneswar,Kochi
TRV_0182,PERSON_00368,2021-03-08,Flight,Jaipur,Jaipur
TRV_0183,PERSON_00375,2022-02-20,Flight,Patna,Noida
TRV_0184,PERSON_00382,2024-03-25,Hotel,Bengaluru,Panaji
TRV_0185,PERSON_00389,2025-01-16,Bus,Mumbai,Bhubaneswar
TRV_0186,PERSON_00396,2023-02-14,Bus,Jaipur,Patna
TRV_0187,PERSON_00403,2025-04-06,Flight,Delhi,Kolkata
TRV_0188,PERSON_00410,2021-03-31,Hotel,Bhubaneswar,Jaipur
TRV_0189,PERSON_00417,2022-05-29,Flight,Mumbai,Kolkata
TRV_0190,PERSON_00424,2024-01-30,Flight,Delhi,Raipur
TRV_0191,PERSON_00431,2024-06-11,Rail,Noida,Ranchi
TRV_0192,PERSON_00438,2021-05-12,Flight,Kolkata,Jaipur
TRV_0193,PERSON_00445,2024-09-18,Hotel,Delhi,Bengaluru
TRV_0194,PERSON_00002,2022-04-12,Rail,Kolkata,Ranchi
TRV_0195,PERSON_00009,2025-08-14,Rail,Chennai,Ahmedabad
TRV_0196,PERSON_00016,2024-04-22,Flight,Kolkata,Delhi
TRV_0197,PERSON_00023,2025-03-05,Bus,Hyderabad,Bengaluru
TRV_0198,PERSON_00030,2024-04-19,Rail,Bengaluru,Noida
TRV_0199,PERSON_00037,2022-12-28,Flight,Raipur,Bengaluru
TRV_0200,PERSON_00044,2025-02-09,Flight,Ranchi,Ahmedabad
TRV_0201,PERSON_00051,2024-09-07,Hotel,Jaipur,Noida
TRV_0202,PERSON_00058,2023-01-13,Rail,Ahmedabad,Jaipur
TRV_0203,PERSON_00065,2025-04-16,Hotel,Kochi,Noida
TRV_0204,PERSON_00072,2021-09-05,Hotel,Kochi,Delhi
TRV_0205,PERSON_00079,2025-11-03,Flight,Ahmedabad,Vijayawada
TRV_0206,PERSON_00086,2026-01-03,Rail,Kolkata,Bhubaneswar
TRV_0207,PERSON_00093,2026-02-06,Hotel,Bhubaneswar,Mumbai
TRV_0208,PERSON_00100,2025-05-12,Hotel,Jaipur,Ranchi
TRV_0209,PERSON_00107,2023-03-09,Bus,Delhi,Mumbai
TRV_0210,PERSON_00114,2021-03-01,Bus,Bhubaneswar,Ahmedabad
TRV_0211,PERSON_00121,2021-03-16,Flight,Mumbai,Ranchi
TRV_0212,PERSON_00128,2022-12-12,Flight,Mumbai,Kochi
TRV_0213,PERSON_00135,2021-09-15,Rail,Panaji,Bengaluru
TRV_0214,PERSON_00142,2023-05-19,Rail,Kochi,Ranchi
TRV_0215,PERSON_00149,2022-11-05,Flight,Kochi,Indore
TRV_0216,PERSON_00156,2022-11-11,Flight,Mumbai,Chennai
TRV_0217,PERSON_00163,2022-07-29,Hotel,Vijayawada,Bhubaneswar
TRV_0218,PERSON_00170,2023-05-15,Flight,Kochi,Chennai
TRV_0219,PERSON_00177,2024-02-04,Flight,Bengaluru,Kochi
TRV_0220,PERSON_00184,2021-04-05,Rail,Vijayawada,Patna
TRV_0221,PERSON_00191,2024-05-19,Flight,Bengaluru,Chennai
TRV_0222,PERSON_00198,2021-07-26,Flight,Chennai,Panaji
TRV_0223,PERSON_00205,2022-05-20,Hotel,Bengaluru,Patna
TRV_0224,PERSON_00212,2022-10-19,Rail,Hyderabad,Chennai
TRV_0225,PERSON_00219,2023-05-08,Hotel,Noida,Hyderabad
TRV_0226,PERSON_00226,2024-05-06,Hotel,Raipur,Bhubaneswar
TRV_0227,PERSON_00233,2024-03-01,Rail,Jaipur,Bengaluru
TRV_0228,PERSON_00240,2024-10-02,Flight,Vijayawada,Chennai
TRV_0229,PERSON_00247,2023-10-31,Flight,Indore,Kolkata
TRV_0230,PERSON_00254,2024-08-17,Bus,Panaji,Chennai
TRV_0231,PERSON_00261,2024-04-30,Rail,Jaipur,Hyderabad
TRV_0232,PERSON_00268,2025-04-15,Rail,Bengaluru,Hyderabad
TRV_0233,PERSON_00275,2024-01-13,Hotel,Noida,Kolkata
TRV_0234,PERSON_00282,2022-08-26,Rail,Ahmedabad,Bengaluru
TRV_0235,PERSON_00289,2025-03-29,Rail,Chennai,Hyderabad
TRV_0236,PERSON_00296,2024-01-21,Flight,Bengaluru,Raipur
TRV_0237,PERSON_00303,2025-11-09,Bus,Ahmedabad,Noida
TRV_0238,PERSON_00310,2023-03-11,Rail,Jaipur,Patna
TRV_0239,PERSON_00317,2021-12-10,Bus,Vijayawada,Delhi
TRV_0240,PERSON_00324,2024-04-30,Rail,Noida,Hyderabad
TRV_0241,PERSON_00331,2023-06-20,Flight,Noida,Bhubaneswar
TRV_0242,PERSON_00338,2025-05-08,Rail,Chennai,Ranchi
TRV_0243,PERSON_00345,2023-04-18,Hotel,Chennai,Kochi
TRV_0244,PERSON_00352,2025-05-07,Hotel,Ranchi,Indore
TRV_0245,PERSON_00359,2024-02-05,Flight,Kolkata,Bhubaneswar
TRV_0246,PERSON_00366,2026-05-24,Rail,Ranchi,Jaipur
TRV_0247,PERSON_00373,2026-04-01,Hotel,Indore,Indore
TRV_0248,PERSON_00380,2022-05-01,Bus,Bengaluru,Kochi
TRV_0249,PERSON_00387,2021-07-26,Hotel,Chennai,Ahmedabad
TRV_0250,PERSON_00394,2021-06-22,Hotel,Raipur,Bhubaneswar
TRV_0251,PERSON_00401,2026-02-10,Hotel,Bhubaneswar,Hyderabad
TRV_0252,PERSON_00408,2021-02-04,Hotel,Ranchi,Patna
TRV_0253,PERSON_00415,2021-10-27,Bus,Jaipur,Ahmedabad
TRV_0254,PERSON_00422,2024-03-23,Hotel,Indore,Bengaluru
TRV_0255,PERSON_00429,2025-09-19,Hotel,Mumbai,Noida
TRV_0256,PERSON_00436,2024-12-25,Flight,Raipur,Indore
TRV_0257,PERSON_00443,2025-09-05,Bus,Delhi,Vijayawada
TRV_0258,PERSON_00450,2022-08-04,Rail,Raipur,Noida
TRV_0259,PERSON_00007,2021-10-03,Rail,Hyderabad,Bhubaneswar
TRV_0260,PERSON_00014,2026-03-04,Bus,Kolkata,Kolkata
TRV_0261,PERSON_00021,2026-05-07,Bus,Indore,Vijayawada
TRV_0262,PERSON_00028,2025-07-22,Rail,Patna,Mumbai
TRV_0263,PERSON_00035,2021-11-03,Bus,Bhubaneswar,Noida
TRV_0264,PERSON_00042,2026-02-14,Flight,Noida,Noida
TRV_0265,PERSON_00049,2026-03-14,Bus,Ahmedabad,Indore
TRV_0266,PERSON_00056,2022-09-07,Bus,Chennai,Bengaluru
TRV_0267,PERSON_00063,2023-04-04,Bus,Noida,Vijayawada
TRV_0268,PERSON_00070,2023-09-11,Rail,Hyderabad,Mumbai
TRV_0269,PERSON_00077,2023-10-28,Flight,Jaipur,Chennai
TRV_0270,PERSON_00084,2024-10-13,Hotel,Patna,Vijayawada
TRV_0271,PERSON_00091,2022-08-13,Bus,Indore,Ranchi
TRV_0272,PERSON_00098,2024-10-08,Flight,Bengaluru,Bengaluru
TRV_0273,PERSON_00105,2026-06-06,Hotel,Ranchi,Bengaluru
TRV_0274,PERSON_00112,2024-07-18,Bus,Noida,Panaji
TRV_0275,PERSON_00119,2022-04-28,Rail,Noida,Noida
TRV_0276,PERSON_00126,2023-12-21,Rail,Bengaluru,Vijayawada
TRV_0277,PERSON_00133,2024-05-15,Rail,Chennai,Patna
TRV_0278,PERSON_00140,2024-07-04,Bus,Hyderabad,Ahmedabad
TRV_0279,PERSON_00147,2021-11-22,Hotel,Noida,Bengaluru
TRV_0280,PERSON_00154,2022-06-21,Bus,Noida,Kochi
TRV_0281,PERSON_00161,2021-12-10,Flight,Ahmedabad,Raipur
TRV_0282,PERSON_00168,2022-04-19,Bus,Hyderabad,Ahmedabad
TRV_0283,PERSON_00175,2026-01-12,Rail,Indore,Raipur
TRV_0284,PERSON_00182,2024-11-17,Hotel,Indore,Ranchi
TRV_0285,PERSON_00189,2023-12-19,Rail,Mumbai,Indore
TRV_0286,PERSON_00196,2024-07-07,Bus,Panaji,Jaipur
TRV_0287,PERSON_00203,2023-03-11,Bus,Ahmedabad,Indore
TRV_0288,PERSON_00210,2025-04-05,Bus,Panaji,Jaipur
TRV_0289,PERSON_00217,2026-05-21,Flight,Vijayawada,Mumbai
TRV_0290,PERSON_00224,2026-02-25,Flight,Chennai,Mumbai
TRV_0291,PERSON_00231,2022-06-13,Bus,Patna,Bhubaneswar
TRV_0292,PERSON_00238,2023-08-20,Rail,Ranchi,Patna
TRV_0293,PERSON_00245,2021-10-07,Flight,Noida,Patna
TRV_0294,PERSON_00252,2021-10-27,Hotel,Delhi,Bhubaneswar
TRV_0295,PERSON_00259,2021-05-15,Flight,Delhi,Raipur
TRV_0296,PERSON_00266,2025-03-22,Rail,Panaji,Hyderabad
TRV_0297,PERSON_00273,2026-03-09,Flight,Indore,Panaji
TRV_0298,PERSON_00280,2024-03-15,Bus,Patna,Jaipur
TRV_0299,PERSON_00287,2023-03-15,Hotel,Chennai,Noida
TRV_0300,PERSON_00294,2024-06-09,Flight,Bhubaneswar,Panaji
TRV_0301,PERSON_00301,2022-09-06,Rail,Noida,Ahmedabad
TRV_0302,PERSON_00308,2021-10-28,Hotel,Vijayawada,Jaipur
TRV_0303,PERSON_00315,2024-09-29,Rail,Bhubaneswar,Delhi
TRV_0304,PERSON_00322,2024-09-28,Bus,Ranchi,Raipur
TRV_0305,PERSON_00329,2023-10-18,Hotel,Indore,Bengaluru
TRV_0306,PERSON_00336,2023-01-12,Rail,Ranchi,Ranchi
TRV_0307,PERSON_00343,2022-08-05,Bus,Chennai,Ahmedabad
TRV_0308,PERSON_00350,2025-03-24,Hotel,Delhi,Ranchi
TRV_0309,PERSON_00357,2024-01-06,Hotel,Mumbai,Ahmedabad
TRV_0310,PERSON_00364,2022-12-21,Bus,Ahmedabad,Indore
TRV_0311,PERSON_00371,2021-08-02,Rail,Ranchi,Ranchi
TRV_0312,PERSON_00378,2023-05-03,Flight,Ahmedabad,Indore
TRV_0313,PERSON_00385,2024-08-10,Flight,Patna,Ahmedabad
TRV_0314,PERSON_00392,2025-10-03,Hotel,Ahmedabad,Delhi
TRV_0315,PERSON_00399,2022-07-22,Flight,Raipur,Kolkata
TRV_0316,PERSON_00406,2022-10-18,Bus,Ahmedabad,Raipur
TRV_0317,PERSON_00413,2023-06-07,Hotel,Vijayawada,Raipur
TRV_0318,PERSON_00420,2026-02-23,Rail,Bhubaneswar,Kochi
TRV_0319,PERSON_00427,2023-10-15,Flight,Panaji,Bengaluru
TRV_0320,PERSON_00434,2026-01-11,Bus,Jaipur,Panaji
TRV_0321,PERSON_00441,2023-10-26,Bus,Ranchi,Patna
TRV_0322,PERSON_00448,2024-04-23,Rail,Hyderabad,Bengaluru
TRV_0323,PERSON_00005,2024-11-14,Rail,Raipur,Bhubaneswar
TRV_0324,PERSON_00012,2026-01-18,Hotel,Panaji,Patna
TRV_0325,PERSON_00019,2025-05-07,Hotel,Noida,Delhi
TRV_0326,PERSON_00026,2022-06-01,Flight,Noida,Delhi
TRV_0327,PERSON_00033,2023-05-08,Rail,Ahmedabad,Hyderabad
TRV_0328,PERSON_00040,2022-12-30,Flight,Bhubaneswar,Indore
TRV_0329,PERSON_00047,2026-05-22,Bus,Kochi,Raipur
TRV_0330,PERSON_00054,2024-03-22,Bus,Raipur,Mumbai
TRV_0331,PERSON_00061,2023-12-25,Hotel,Hyderabad,Mumbai
TRV_0332,PERSON_00068,2022-11-14,Flight,Kolkata,Panaji
TRV_0333,PERSON_00075,2021-12-26,Bus,Mumbai,Indore
TRV_0334,PERSON_00082,2023-12-23,Rail,Delhi,Bengaluru
TRV_0335,PERSON_00089,2021-05-12,Rail,Mumbai,Mumbai
TRV_0336,PERSON_00096,2026-06-12,Bus,Mumbai,Noida
TRV_0337,PERSON_00103,2024-02-19,Bus,Bengaluru,Jaipur
TRV_0338,PERSON_00110,2025-11-20,Bus,Hyderabad,Vijayawada
TRV_0339,PERSON_00117,2025-10-09,Hotel,Noida,Vijayawada
TRV_0340,PERSON_00124,2022-07-10,Rail,Delhi,Jaipur
TRV_0341,PERSON_00131,2024-04-02,Hotel,Jaipur,Kolkata
TRV_0342,PERSON_00138,2021-05-14,Rail,Bengaluru,Mumbai
TRV_0343,PERSON_00145,2021-11-12,Flight,Indore,Ranchi
TRV_0344,PERSON_00152,2025-02-06,Flight,Ranchi,Jaipur
TRV_0345,PERSON_00159,2022-08-14,Flight,Chennai,Panaji
TRV_0346,PERSON_00166,2024-02-26,Rail,Kolkata,Ahmedabad
TRV_0347,PERSON_00173,2024-05-14,Bus,Ahmedabad,Mumbai
TRV_0348,PERSON_00180,2025-08-07,Rail,Vijayawada,Delhi
TRV_0349,PERSON_00187,2024-08-08,Flight,Indore,Indore
TRV_0350,PERSON_00194,2023-10-14,Bus,Hyderabad,Jaipur
TRV_0351,PERSON_00201,2026-02-07,Flight,Patna,Mumbai
TRV_0352,PERSON_00208,2021-11-28,Flight,Panaji,Chennai
TRV_0353,PERSON_00215,2022-03-20,Rail,Bhubaneswar,Noida
TRV_0354,PERSON_00222,2021-08-27,Bus,Noida,Vijayawada
TRV_0355,PERSON_00229,2023-06-16,Bus,Ahmedabad,Jaipur
TRV_0356,PERSON_00236,2021-11-07,Flight,Ahmedabad,Raipur
TRV_0357,PERSON_00243,2022-10-09,Flight,Chennai,Indore
TRV_0358,PERSON_00250,2022-08-05,Hotel,Indore,Ranchi
TRV_0359,PERSON_00257,2023-11-22,Flight,Kochi,Kolkata
TRV_0360,PERSON_00264,2022-06-30,Flight,Kochi,Bengaluru
TRV_0361,PERSON_00271,2024-05-29,Hotel,Ahmedabad,Panaji
TRV_0362,PERSON_00278,2024-06-26,Hotel,Vijayawada,Panaji
TRV_0363,PERSON_00285,2023-12-30,Hotel,Patna,Patna
TRV_0364,PERSON_00292,2024-06-11,Bus,Panaji,Delhi
TRV_0365,PERSON_00299,2022-08-10,Bus,Kochi,Kolkata
TRV_0366,PERSON_00306,2023-12-07,Bus,Indore,Patna
TRV_0367,PERSON_00313,2024-07-07,Rail,Vijayawada,Bengaluru
TRV_0368,PERSON_00320,2021-05-28,Hotel,Kochi,Bengaluru
