txn_id,date,account_id,person_id,transaction_type,amount,counterparty,description
TXN_000064,2025-12-08,ACCT_00064,PERSON_00064,customer,28793,PERSON_00093,customer
TXN_000065,2024-10-27,ACCT_00065,PERSON_00065,salary,28376,PERSON_00130,salary
TXN_000066,2021-05-20,ACCT_00066,PERSON_00066,emi,21477,PERSON_00167,emi
TXN_000067,2024-04-12,ACCT_00067,PERSON_00067,customer,35729,PERSON_00204,customer
TXN_000068,2024-10-29,ACCT_00068,PERSON_00068,salary,33247,PERSON_00241,salary
TXN_000069,2024-05-27,ACCT_00069,PERSON_00069,rent,7634,PERSON_00278,rent
TXN_000070,2024-01-05,ACCT_00070,PERSON_00070,rent,21071,PERSON_00315,rent
TXN_000071,2023-05-28,ACCT_00071,PERSON_00071,emi,7193,PERSON_00352,emi
TXN_000072,2023-11-14,ACCT_00072,PERSON_00072,rent,12652,PERSON_00389,rent
TXN_000073,2021-02-01,ACCT_00073,PERSON_00073,utility,1681,PERSON_00426,utility
TXN_000074,2024-01-25,ACCT_00074,PERSON_00074,salary,33165,PERSON_00013,salary
TXN_000075,2025-08-30,ACCT_00075,PERSON_00075,customer,91351,PERSON_00050,customer
TXN_000076,2023-11-12,ACCT_00076,PERSON_00076,fuel,763,PERSON_00087,fuel
TXN_000077,2023-12-07,ACCT_00077,PERSON_00077,upi,10236,PERSON_00124,upi
TXN_000078,2024-11-13,ACCT_00078,PERSON_00078,transfer,87583,PERSON_00161,transfer
TXN_000079,2022-07-12,ACCT_00079,PERSON_00079,supplier,8912,PERSON_00198,supplier
TXN_000080,2023-12-06,ACCT_00080,PERSON_00080,supplier,60820,PERSON_00235,supplier
TXN_000081,2026-03-02,ACCT_00081,PERSON_00081,salary,38399,PERSON_00272,salary
TXN_000082,2023-07-31,ACCT_00082,PERSON_00082,grocery,4780,PERSON_00309,grocery
TXN_000083,2025-06-03,ACCT_00083,PERSON_00083,fuel,4729,PERSON_00346,fuel
TXN_000084,2026-06-28,ACCT_00084,PERSON_00084,upi,57195,PERSON_00383,upi
TXN_000085,2021-08-25,ACCT_00085,PERSON_00085,upi,8704,PERSON_00420,upi
TXN_000086,2025-09-22,ACCT_00086,PERSON_00086,utility,4641,PERSON_00007,utility
TXN_000087,2022-01-23,ACCT_00087,PERSON_00087,emi,31976,PERSON_00044,emi
TXN_000088,2024-06-10,ACCT_00088,PERSON_00088,salary,23450,PERSON_00081,salary
TXN_000089,2021-06-12,ACCT_00089,PERSON_00089,cash_deposit,215537,PERSON_00118,cash deposit
TXN_000090,2021-08-29,ACCT_00090,PERSON_00090,customer,80268,PERSON_00155,customer
TXN_000091,2023-09-26,ACCT_00091,PERSON_00091,cash_deposit,111849,PERSON_00192,cash deposit
TXN_000092,2024-08-27,ACCT_00092,PERSON_00092,upi,207474,PERSON_00229,upi
TXN_000093,2024-01-06,ACCT_00093,PERSON_00093,upi,205556,PERSON_00266,upi
TXN_000094,2023-06-14,ACCT_00094,PERSON_00094,utility,4027,PERSON_00303,utility
TXN_000095,2024-08-22,ACCT_00095,PERSON_00095,upi,147018,PERSON_00340,upi
TXN_000096,2022-05-04,ACCT_00096,PERSON_00096,transfer,17326,PERSON_00377,transfer
TXN_000097,2026-02-08,ACCT_00097,PERSON_00097,upi,11333,PERSON_00414,upi
TXN_000098,2023-10-21,ACCT_00098,PERSON_00098,cash_deposit,169514,PERSON_00001,cash deposit
TXN_000099,2025-03-31,ACCT_00099,PERSON_00099,supplier,39558,PERSON_00038,supplier
TXN_000100,2024-07-11,ACCT_00100,PERSON_00100,rent,13535,PERSON_00075,rent
TXN_000101,2023-12-24,ACCT_00101,PERSON_00101,customer,67168,PERSON_00112,customer
TXN_000102,2023-12-22,ACCT_00102,PERSON_00102,customer,42011,PERSON_00149,customer
TXN_000103,2023-04-21,ACCT_00103,PERSON_00103,cash_deposit,91821,PERSON_00186,cash deposit
TXN_000104,2021-11-15,ACCT_00104,PERSON_00104,upi,5923,PERSON_00223,upi
TXN_000105,2026-03-18,ACCT_00105,PERSON_00105,supplier,11765,PERSON_00260,supplier
TXN_000106,2021-10-11,ACCT_00106,PERSON_00106,upi,215478,PERSON_00297,upi
TXN_000107,2022-05-06,ACCT_00107,PERSON_00107,emi,19993,PERSON_00334,emi
TXN_000108,2025-06-28,ACCT_00108,PERSON_00108,upi,6736,PERSON_00371,upi
TXN_000109,2023-07-08,ACCT_00109,PERSON_00109,upi,6650,PERSON_00408,upi
TXN_000110,2024-01-13,ACCT_00110,PERSON_00110,upi,212368,PERSON_00445,upi
TXN_000111,2024-07-31,ACCT_00111,PERSON_00111,salary,39953,PERSON_00032,salary
TXN_000112,2026-01-29,ACCT_00112,PERSON_00112,customer,25667,PERSON_00069,customer
TXN_000113,2023-09-24,ACCT_00113,PERSON_00113,grocery,5290,PERSON_00106,grocery
TXN_000114,2025-04-17,ACCT_00114,PERSON_00114,transfer,196742,PERSON_00143,transfer
TXN_000115,2023-05-03,ACCT_00115,PERSON_00115,supplier,11224,PERSON_00180,supplier
TXN_000116,2023-10-14,ACCT_00116,PERSON_00116,rent,14739,PERSON_00217,rent
TXN_000117,2024-03-02,ACCT_00117,PERSON_00117,transfer,214792,PERSON_00254,transfer
TXN_000118,2021-06-02,ACCT_00118,PERSON_00118,upi,186570,PERSON_00291,upi
TXN_000119,2023-03-29,ACCT_00119,PERSON_00119,utility,5576,PERSON_00328,utility
TXN_000120,2026-02-19,ACCT_00120,PERSON_00120,upi,9379,PERSON_00365,upi
TXN_000121,2024-12-30,ACCT_00121,PERSON_00121,utility,2265,PERSON_00402,utility
TXN_000122,2023-09-13,ACCT_00122,PERSON_00122,salary,28987,PERSON_00439,salary
TXN_000123,2021-05-28,ACCT_00123,PERSON_00123,rent,13064,PERSON_00026,rent
TXN_000124,2024-08-01,ACCT_00124,PERSON_00124,grocery,4709,PERSON_00063,grocery
TXN_000125,2021-04-27,ACCT_00125,PERSON_00125,fuel,3895,PERSON_00100,fuel
TXN_000126,2023-01-19,ACCT_00126,PERSON_00126,utility,4541,PERSON_00137,utility
TXN_000127,2024-02-25,ACCT_00127,PERSON_00127,rent,19011,PERSON_00174,rent
TXN_000128,2026-05-27,ACCT_00128,PERSON_00128,transfer,112768,PERSON_00211,transfer
TXN_000129,2026-01-15,ACCT_00129,PERSON_00129,grocery,3822,PERSON_00248,grocery
TXN_000130,2021-07-29,ACCT_00130,PERSON_00130,upi,179434,PERSON_00285,upi
TXN_000131,2022-03-26,ACCT_00131,PERSON_00131,salary,57367,PERSON_00322,salary
TXN_000132,2024-03-02,ACCT_00132,PERSON_00132,supplier,3011,PERSON_00359,supplier
TXN_000133,2021-09-15,ACCT_00133,PERSON_00133,grocery,4746,PERSON_00396,grocery
TXN_000134,2025-02-13,ACCT_00134,PERSON_00134,supplier,22577,PERSON_00433,supplier
TXN_000135,2022-08-15,ACCT_00135,PERSON_00135,fuel,1277,PERSON_00020,fuel
TXN_000136,2022-02-09,ACCT_00136,PERSON_00136,upi,1611,PERSON_00057,upi
TXN_000137,2024-07-29,ACCT_00137,PERSON_00137,transfer,39329,PERSON_00094,transfer
TXN_000138,2025-04-27,ACCT_00138,PERSON_00138,utility,3220,PERSON_00131,utility
TXN_000139,2024-09-14,ACCT_00139,PERSON_00139,salary,54703,PERSON_00168,salary
TXN_000140,2022-05-20,ACCT_00140,PERSON_00140,emi,19559,PERSON_00205,emi
TXN_000141,2022-09-02,ACCT_00141,PERSON_00141,transfer,236753,PERSON_00242,transfer
TXN_000142,2021-07-29,ACCT_00142,PERSON_00142,rent,13879,PERSON_00279,rent
TXN_000143,2021-09-04,ACCT_00143,PERSON_00143,transfer,20978,PERSON_00316,transfer
TXN_000144,2023-01-01,ACCT_00144,PERSON_00144,fuel,3795,PERSON_00353,fuel
TXN_000145,2024-12-13,ACCT_00145,PERSON_00145,transfer,33142,PERSON_00390,transfer
TXN_000146,2026-02-19,ACCT_00146,PERSON_00146,supplier,12990,PERSON_00427,supplier
TXN_000147,2024-01-03,ACCT_00147,PERSON_00147,cash_deposit,207557,PERSON_00014,cash deposit
TXN_000148,2021-08-31,ACCT_00148,PERSON_00148,customer,97295,PERSON_00051,customer
TXN_000149,2025-06-13,ACCT_00149,PERSON_00149,upi,6510,PERSON_00088,upi
TXN_000150,2022-04-18,ACCT_00150,PERSON_00150,fuel,1913,PERSON_00125,fuel
TXN_000151,2026-02-22,ACCT_00151,PERSON_00151,rent,15020,PERSON_00162,rent
TXN_000152,2021-05-21,ACCT_00152,PERSON_00152,upi,102064,PERSON_00199,upi
TXN_000153,2024-08-31,ACCT_00153,PERSON_00153,salary,49652,PERSON_00236,salary
TXN_000154,2022-05-14,ACCT_00154,PERSON_00154,emi,19235,PERSON_00273,emi
TXN_000155,2023-06-12,ACCT_00155,PERSON_00155,supplier,75774,PERSON_00310,supplier
TXN_000156,2022-05-29,ACCT_00156,PERSON_00156,transfer,73093,PERSON_00347,transfer
TXN_000157,2022-05-16,ACCT_00157,PERSON_00157,utility,1134,PERSON_00384,utility
TXN_000158,2024-11-09,ACCT_00158,PERSON_00158,upi,8187,PERSON_00421,upi
TXN_000159,2022-06-28,ACCT_00159,PERSON_00159,utility,4104,PERSON_00008,utility
TXN_000160,2021-04-21,ACCT_00160,PERSON_00160,upi,152114,PERSON_00045,upi
TXN_000161,2024-07-21,ACCT_00161,PERSON_00161,upi,121202,PERSON_00082,upi
TXN_000162,2025-04-12,ACCT_00162,PERSON_00162,transfer,57359,PERSON_00119,transfer
TXN_000163,2023-09-06,ACCT_00163,PERSON_00163,utility,980,PERSON_00156,utility
TXN_000164,2023-12-18,ACCT_00164,PERSON_00164,transfer,200388,PERSON_00193,transfer
TXN_000165,2024-05-10,ACCT_00165,PERSON_00165,customer,1848,PERSON_00230,customer
TXN_000166,2023-04-26,ACCT_00166,PERSON_00166,utility,5923,PERSON_00267,utility
TXN_000167,2022-12-25,ACCT_00167,PERSON_00167,emi,28543,PERSON_00304,emi
TXN_000168,2024-05-04,ACCT_00168,PERSON_00168,grocery,958,PERSON_00341,grocery
TXN_000169,2024-05-14,ACCT_00169,PERSON_00169,salary,57116,PERSON_00378,salary
TXN_000170,2022-12-14,ACCT_00170,PERSON_00170,cash_deposit,20779,PERSON_00415,cash deposit
TXN_000171,2022-11-02,ACCT_00171,PERSON_00171,fuel,2584,PERSON_00002,fuel
TXN_000172,2022-07-19,ACCT_00172,PERSON_00172,upi,7493,PERSON_00039,upi
TXN_000173,2021-04-11,ACCT_00173,PERSON_00173,upi,11749,PERSON_00076,upi
TXN_000174,2025-03-18,ACCT_00174,PERSON_00174,utility,2093,PERSON_00113,utility
TXN_000175,2026-02-05,ACCT_00175,PERSON_00175,grocery,2431,PERSON_00150,grocery
TXN_000176,2023-07-10,ACCT_00176,PERSON_00176,customer,93001,PERSON_00187,customer
TXN_000177,2024-09-26,ACCT_00177,PERSON_00177,transfer,5061,PERSON_00224,transfer
TXN_000178,2025-09-16,ACCT_00178,PERSON_00178,emi,10695,PERSON_00261,emi
TXN_000179,2022-05-22,ACCT_00179,PERSON_00179,customer,29573,PERSON_00298,customer
TXN_000180,2022-10-22,ACCT_00180,PERSON_00180,upi,198649,PERSON_00335,upi
TXN_000181,2024-04-05,ACCT_00181,PERSON_00181,utility,6812,PERSON_00372,utility
TXN_000182,2024-10-21,ACCT_00182,PERSON_00182,upi,198974,PERSON_00409,upi
TXN_000183,2021-09-07,ACCT_00183,PERSON_00183,upi,7075,PERSON_00446,upi
TXN_000184,2025-01-07,ACCT_00184,PERSON_00184,upi,230671,PERSON_00033,upi
TXN_000185,2026-04-21,ACCT_00185,PERSON_00185,rent,10056,PERSON_00070,rent
TXN_000186,2022-09-06,ACCT_00186,PERSON_00186,rent,13163,PERSON_00107,rent
TXN_000187,2024-12-25,ACCT_00187,PERSON_00187,grocery,4997,PERSON_00144,grocery
TXN_000188,2025-07-24,ACCT_00188,PERSON_00188,upi,11040,PERSON_00181,upi
TXN_000189,2025-06-05,ACCT_00189,PERSON_00189,customer,61761,PERSON_00218,customer
TXN_000190,2023-12-10,ACCT_00190,PERSON_00190,supplier,56526,PERSON_00255,supplier
TXN_000191,2022-02-01,ACCT_00191,PERSON_00191,upi,155132,PERSON_00292,upi
TXN_000192,2021-11-06,ACCT_00192,PERSON_00192,supplier,37547,PERSON_00329,supplier
TXN_000193,2025-04-20,ACCT_00193,PERSON_00193,salary,38046,PERSON_00366,salary
TXN_000194,2026-04-27,ACCT_00194,PERSON_00194,fuel,3847,PERSON_00403,fuel
TXN_000195,2022-01-25,ACCT_00195,PERSON_00195,rent,15785,PERSON_00440,rent
TXN_000196,2022-12-17,ACCT_00196,PERSON_00196,salary,64937,PERSON_00027,salary
TXN_000197,2025-01-03,ACCT_00197,PERSON_00197,customer,33530,PERSON_00064,customer
TXN_000198,2026-02-01,ACCT_00198,PERSON_00198,fuel,2875,PERSON_00101,fuel
TXN_000199,2026-06-20,ACCT_00199,PERSON_00199,grocery,4913,PERSON_00138,grocery
TXN_000200,2023-02-03,ACCT_00200,PERSON_00200,fuel,5814,PERSON_00175,fuel
TXN_000201,2025-03-14,ACCT_00201,PERSON_00201,cash_deposit,110377,PERSON_00212,cash deposit
TXN_000202,2022-11-04,ACCT_00202,PERSON_00202,supplier,18896,PERSON_00249,supplier
TXN_000203,2024-06-30,ACCT_00203,PERSON_00203,salary,55562,PERSON_00286,salary
TXN_000204,2026-03-20,ACCT_00204,PERSON_00204,transfer,16722,PERSON_00323,transfer
TXN_000205,2021-01-31,ACCT_00205,PERSON_00205,cash_deposit,85522,PERSON_00360,cash deposit
TXN_000206,2022-11-14,ACCT_00206,PERSON_00206,rent,7408,PERSON_00397,rent
TXN_000207,2025-08-12,ACCT_00207,PERSON_00207,utility,2664,PERSON_00434,utility
TXN_000208,2025-03-23,ACCT_00208,PERSON_00208,rent,19708,PERSON_00021,rent
TXN_000209,2023-12-01,ACCT_00209,PERSON_00209,utility,5606,PERSON_00058,utility
TXN_000210,2021-05-18,ACCT_00210,PERSON_00210,fuel,5076,PERSON_00095,fuel
TXN_000211,2022-05-23,ACCT_00211,PERSON_00211,fuel,4591,PERSON_00132,fuel
TXN_000212,2021-07-07,ACCT_00212,PERSON_00212,rent,8267,PERSON_00169,rent
TXN_000213,2026-05-04,ACCT_00213,PERSON_00213,fuel,5236,PERSON_00206,fuel
TXN_000214,2022-12-30,ACCT_00214,PERSON_00214,upi,234812,PERSON_00243,upi
TXN_000215,2023-03-04,ACCT_00215,PERSON_00215,transfer,40436,PERSON_00280,transfer
TXN_000216,2021-02-13,ACCT_00216,PERSON_00216,grocery,4454,PERSON_00317,grocery
TXN_000217,2025-12-13,ACCT_00217,PERSON_00217,customer,35792,PERSON_00354,customer
TXN_000218,2026-01-02,ACCT_00218,PERSON_00218,rent,21457,PERSON_00391,rent
TXN_000219,2023-03-07,ACCT_00219,PERSON_00219,customer,45749,PERSON_00428,customer
TXN_000220,2021-11-29,ACCT_00220,PERSON_00220,salary,41028,PERSON_00015,salary
TXN_000221,2026-02-17,ACCT_00221,PERSON_00221,salary,35876,PERSON_00052,salary
TXN_000222,2023-10-14,ACCT_00222,PERSON_00222,fuel,4499,PERSON_00089,fuel
TXN_000223,2025-05-06,ACCT_00223,PERSON_00223,salary,22690,PERSON_00126,salary
TXN_000224,2021-02-21,ACCT_00224,PERSON_00224,transfer,39848,PERSON_00163,transfer
TXN_000225,2024-06-02,ACCT_00225,PERSON_00225,grocery,4222,PERSON_00200,grocery
TXN_000226,2026-06-30,ACCT_00226,PERSON_00226,salary,28963,PERSON_00237,salary
TXN_000227,2025-02-03,ACCT_00227,PERSON_00227,upi,6636,PERSON_00274,upi
TXN_000228,2021-05-31,ACCT_00228,PERSON_00228,fuel,2269,PERSON_00311,fuel
TXN_000229,2023-10-13,ACCT_00229,PERSON_00229,transfer,78118,PERSON_00348,transfer
TXN_000230,2021-08-31,ACCT_00230,PERSON_00230,salary,68920,PERSON_00385,salary
TXN_000231,2023-11-17,ACCT_00231,PERSON_00231,upi,63151,PERSON_00422,upi
TXN_000232,2024-11-19,ACCT_00232,PERSON_00232,emi,30719,PERSON_00009,emi
TXN_000233,2021-02-06,ACCT_00233,PERSON_00233,customer,29653,PERSON_00046,customer
TXN_000234,2023-12-31,ACCT_00234,PERSON_00234,grocery,6315,PERSON_00083,grocery
TXN_000235,2024-04-26,ACCT_00235,PERSON_00235,upi,4970,PERSON_00120,upi
TXN_000236,2023-09-29,ACCT_00236,PERSON_00236,customer,29449,PERSON_00157,customer
TXN_000237,2025-03-08,ACCT_00237,PERSON_00237,emi,18783,PERSON_00194,emi
TXN_000238,2022-05-19,ACCT_00238,PERSON_00238,upi,5387,PERSON_00231,upi
TXN_000239,2022-01-07,ACCT_00239,PERSON_00239,fuel,4338,PERSON_00268,fuel
TXN_000240,2024-11-09,ACCT_00240,PERSON_00240,fuel,4658,PERSON_00305,fuel
TXN_000241,2023-11-24,ACCT_00241,PERSON_00241,upi,235045,PERSON_00342,upi
TXN_000242,2026-03-23,ACCT_00242,PERSON_00242,supplier,78124,PERSON_00379,supplier
TXN_000243,2022-08-02,ACCT_00243,PERSON_00243,fuel,2783,PERSON_00416,fuel
TXN_000244,2022-11-11,ACCT_00244,PERSON_00244,salary,42540,PERSON_00003,salary
TXN_000245,2021-07-30,ACCT_00245,PERSON_00245,utility,4740,PERSON_00040,utility
TXN_000246,2023-10-19,ACCT_00246,PERSON_00246,supplier,54867,PERSON_00077,supplier
TXN_000247,2022-08-09,ACCT_00247,PERSON_00247,emi,9761,PERSON_00114,emi
TXN_000248,2021-04-24,ACCT_00248,PERSON_00248,rent,12201,PERSON_00151,rent
TXN_000249,2024-08-30,ACCT_00249,PERSON_00249,upi,10332,PERSON_00188,upi
TXN_000250,2021-04-19,ACCT_00250,PERSON_00250,utility,1043,PERSON_00225,utility
TXN_000251,2023-05-29,ACCT_00251,PERSON_00251,supplier,32001,PERSON_00262,supplier
TXN_000252,2025-08-26,ACCT_00252,PERSON_00252,fuel,1520,PERSON_00299,fuel
TXN_000253,2026-01-23,ACCT_00253,PERSON_00253,supplier,6438,PERSON_00336,supplier
TXN_000254,2025-06-13,ACCT_00254,PERSON_00254,rent,12430,PERSON_00373,rent
TXN_000255,2025-11-09,ACCT_00255,PERSON_00255,transfer,196765,PERSON_00410,transfer
TXN_000256,2023-12-17,ACCT_00256,PERSON_00256,upi,170274,PERSON_00447,upi
TXN_000257,2022-03-31,ACCT_00257,PERSON_00257,salary,71134,PERSON_00034,salary
TXN_000258,2025-04-26,ACCT_00258,PERSON_00258,upi,2498,PERSON_00071,upi
TXN_000259,2025-09-25,ACCT_00259,PERSON_00259,utility,3284,PERSON_00108,utility
TXN_000260,2021-04-09,ACCT_00260,PERSON_00260,rent,18002,PERSON_00145,rent
TXN_000261,2025-07-09,ACCT_00261,PERSON_00261,rent,9497,PERSON_00182,rent
TXN_000262,2021-04-18,ACCT_00262,PERSON_00262,transfer,51118,PERSON_00219,transfer
TXN_000263,2023-10-20,ACCT_00263,PERSON_00263,rent,14023,PERSON_00256,rent
TXN_000264,2025-12-28,ACCT_00264,PERSON_00264,salary,55971,PERSON_00293,salary
TXN_000265,2023-07-30,ACCT_00265,PERSON_00265,upi,11023,PERSON_00330,upi
TXN_000266,2023-01-04,ACCT_00266,PERSON_00266,customer,100127,PERSON_00367,customer
TXN_000267,2023-02-24,ACCT_00267,PERSON_00267,salary,45374,PERSON_00404,salary
TXN_000268,2021-10-29,ACCT_00268,PERSON_00268,fuel,2956,PERSON_00441,fuel
TXN_000269,2023-11-25,ACCT_00269,PERSON_00269,upi,92358,PERSON_00028,upi
TXN_000270,2021-11-12,ACCT_00270,PERSON_00270,upi,4231,PERSON_00065,upi
TXN_000271,2023-08-20,ACCT_00271,PERSON_00271,upi,229001,PERSON_00102,upi
TXN_000272,2022-11-20,ACCT_00272,PERSON_00272,rent,10927,PERSON_00139,rent
TXN_000273,2024-11-04,ACCT_00273,PERSON_00273,grocery,5750,PERSON_00176,grocery
TXN_000274,2021-11-02,ACCT_00274,PERSON_00274,upi,8180,PERSON_00213,upi
TXN_000275,2022-12-09,ACCT_00275,PERSON_00275,supplier,58798,PERSON_00250,supplier
TXN_000276,2021-09-03,ACCT_00276,PERSON_00276,salary,56777,PERSON_00287,salary
TXN_000277,2022-06-22,ACCT_00277,PERSON_00277,salary,74914,PERSON_00324,salary
TXN_000278,2023-05-23,ACCT_00278,PERSON_00278,supplier,32847,PERSON_00361,supplier
TXN_000279,2025-12-10,ACCT_00279,PERSON_00279,fuel,2585,PERSON_00398,fuel
TXN_000280,2024-08-13,ACCT_00280,PERSON_00280,upi,3441,PERSON_00435,upi
TXN_000281,2025-12-26,ACCT_00281,PERSON_00281,grocery,5042,PERSON_00022,grocery
TXN_000282,2021-08-19,ACCT_00282,PERSON_00282,grocery,402,PERSON_00059,grocery
TXN_000283,2021-09-19,ACCT_00283,PERSON_00283,upi,3685,PERSON_00096,upi
TXN_000284,2022-12-17,ACCT_00284,PERSON_00284,rent,11149,PERSON_00133,rent
TXN_000285,2022-02-10,ACCT_00285,PERSON_00285,supplier,50122,PERSON_00170,supplier
TXN_000286,2025-05-31,ACCT_00286,PERSON_00286,upi,229477,PERSON_00207,upi
TXN_000287,2022-08-05,ACCT_00287,PERSON_00287,grocery,2538,PERSON_00244,grocery
TXN_000288,2025-01-22,ACCT_00288,PERSON_00288,upi,81656,PERSON_00281,upi
TXN_000289,2022-07-27,ACCT_00289,PERSON_00289,supplier,6260,PERSON_00318,supplier
TXN_000290,2021-07-13,ACCT_00290,PERSON_00290,grocery,6022,PERSON_00355,grocery
