vehicle_id,owner_person_id,valid_from,valid_to
VEH_0146,PERSON_00086,2022-03-07,
VEH_0147,PERSON_00099,2022-07-26,
VEH_0148,PERSON_00112,2023-06-11,2025-02-24
VEH_0148,PERSON_00127,2024-10-23,
VEH_0149,PERSON_00125,2022-05-01,
VEH_0150,PERSON_00138,2022-06-23,
VEH_0151,PERSON_00151,2021-11-16,2023-09-23
VEH_0152,PERSON_00164,2021-10-16,
VEH_0153,PERSON_00177,2022-04-08,
VEH_0154,PERSON_00190,2022-02-03,2023-11-13
VEH_0155,PERSON_00203,2021-12-28,
VEH_0155,PERSON_00260,2023-05-12,
VEH_0156,PERSON_00216,2023-02-02,
VEH_0157,PERSON_00229,2022-08-26,2024-12-05
VEH_0158,PERSON_00242,2021-02-04,
VEH_0159,PERSON_00255,2021-07-25,
VEH_0160,PERSON_00268,2022-01-26,2024-08-03
VEH_0161,PERSON_00281,2021-06-10,
VEH_0162,PERSON_00294,2021-04-17,
VEH_0162,PERSON_00393,2022-08-30,
VEH_0163,PERSON_00307,2021-07-25,2023-11-13
VEH_0164,PERSON_00320,2022-02-24,
VEH_0165,PERSON_00333,2021-08-29,
VEH_0166,PERSON_00346,2021-05-02,2024-01-12
VEH_0167,PERSON_00359,2022-07-07,
VEH_0168,PERSON_00372,2021-12-21,
VEH_0169,PERSON_00385,2022-12-29,2025-04-03
VEH_0169,PERSON_00076,2024-05-12,
VEH_0170,PERSON_00398,2022-03-08,
VEH_0171,PERSON_00411,2022-09-03,
VEH_0172,PERSON_00424,2021-07-27,2022-11-20
VEH_0173,PERSON_00437,2021-03-27,
VEH_0174,PERSON_00450,2021-10-09,
VEH_0175,PERSON_00013,2021-03-14,2023-03-23
VEH_0176,PERSON_00026,2021-03-12,
VEH_0176,PERSON_00209,2022-07-25,
VEH_0177,PERSON_00039,2022-04-04,
VEH_0178,PERSON_00052,2022-10-25,2023-12-13
VEH_0179,PERSON_00065,2021-12-31,
VEH_0180,PERSON_00078,2022-06-10,
VEH_0181,PERSON_00091,2021-08-27,2022-03-20
VEH_0182,PERSON_00104,2022-09-14,
VEH_0183,PERSON_00117,2022-02-26,
VEH_0183,PERSON_00342,2023-07-11,
VEH_0184,PERSON_00130,2021-07-04,2022-11-16
VEH_0185,PERSON_00143,2022-10-21,
VEH_0186,PERSON_00156,2023-04-13,
VEH_0187,PERSON_00169,2021-11-14,2022-10-30
VEH_0188,PERSON_00182,2022-02-28,
VEH_0189,PERSON_00195,2022-01-08,
VEH_0190,PERSON_00208,2021-05-20,2022-09-13
VEH_0190,PERSON_00025,2022-10-02,
VEH_0191,PERSON_00221,2022-12-20,
VEH_0192,PERSON_00234,2021-01-28,
VEH_0193,PERSON_00247,2022-11-29,2023-10-23
VEH_0194,PERSON_00260,2021-12-30,
VEH_0195,PERSON_00273,2022-11-24,
VEH_0196,PERSON_00286,2021-01-01,2021-11-13
VEH_0197,PERSON_00299,2021-06-12,
VEH_0197,PERSON_00158,2022-10-25,
VEH_0198,PERSON_00312,2023-04-22,
VEH_0199,PERSON_00325,2023-04-06,2024-04-28
VEH_0200,PERSON_00338,2021-07-29,
VEH_0201,PERSON_00351,2022-01-02,
VEH_0202,PERSON_00364,2021-05-17,2023-10-10
VEH_0203,PERSON_00377,2021-05-25,
VEH_0204,PERSON_00390,2022-02-01,
VEH_0204,PERSON_00291,2023-06-16,
VEH_0205,PERSON_00403,2022-12-28,2024-11-09
VEH_0206,PERSON_00416,2021-11-30,
VEH_0207,PERSON_00429,2021-12-08,
VEH_0208,PERSON_00442,2021-07-16,2022-06-01
VEH_0209,PERSON_00005,2021-11-27,
VEH_0210,PERSON_00018,2022-04-16,
VEH_0211,PERSON_00031,2021-02-25,2022-09-25
VEH_0211,PERSON_00424,2022-07-10,
VEH_0212,PERSON_00044,2022-01-13,
VEH_0213,PERSON_00057,2022-03-06,
VEH_0214,PERSON_00070,2021-05-02,2022-05-04
VEH_0215,PERSON_00083,2021-01-18,
VEH_0216,PERSON_00096,2021-09-05,
VEH_0217,PERSON_00109,2021-04-21,2023-12-19
VEH_0218,PERSON_00122,2022-08-20,
VEH_0218,PERSON_00107,2024-01-02,
VEH_0219,PERSON_00135,2021-05-16,
VEH_0220,PERSON_00148,2022-07-22,2023-02-11
VEH_0221,PERSON_00161,2021-06-06,
VEH_0222,PERSON_00174,2023-06-19,
VEH_0223,PERSON_00187,2021-03-12,2022-04-08
VEH_0224,PERSON_00200,2023-03-16,
VEH_0225,PERSON_00213,2023-03-29,
VEH_0225,PERSON_00240,2024-08-10,
VEH_0226,PERSON_00226,2021-05-07,2022-12-20
VEH_0227,PERSON_00239,2022-01-02,
VEH_0228,PERSON_00252,2023-04-15,
VEH_0229,PERSON_00265,2021-03-07,2022-10-07
VEH_0230,PERSON_00278,2022-09-27,
