case_id,person_id,role
CASE_0036,PERSON_00026,witness
CASE_0036,PERSON_00111,employee
CASE_0036,PERSON_00313,witness
CASE_0036,PERSON_00361,associate
CASE_0036,PERSON_00144,complainant
CASE_0036,PERSON_00416,owner
CASE_0037,PERSON_00130,subject
CASE_0037,PERSON_00376,complainant
CASE_0037,PERSON_00190,associate
CASE_0037,PERSON_00115,subject
CASE_0038,PERSON_00113,subject
CASE_0038,PERSON_00356,complainant
CASE_0038,PERSON_00230,owner
CASE_0038,PERSON_00099,subject
CASE_0038,PERSON_00129,subject
CASE_0038,PERSON_00373,subject
CASE_0038,PERSON_00161,witness
CASE_0038,PERSON_00331,associate
CASE_0039,PERSON_00106,owner
CASE_0039,PERSON_00051,subject
CASE_0039,PERSON_00270,subject
CASE_0040,PERSON_00003,owner
CASE_0040,PERSON_00012,employee
CASE_0040,PERSON_00430,subject
CASE_0040,PERSON_00165,owner
CASE_0040,PERSON_00269,subject
CASE_0040,PERSON_00150,owner
CASE_0041,PERSON_00286,complainant
CASE_0041,PERSON_00119,associate
CASE_0041,PERSON_00012,associate
CASE_0041,PERSON_00383,subject
CASE_0041,PERSON_00197,complainant
CASE_0041,PERSON_00359,owner
CASE_0042,PERSON_00297,associate
CASE_0042,PERSON_00441,subject
CASE_0042,PERSON_00242,subject
CASE_0043,PERSON_00004,subject
CASE_0043,PERSON_00271,complainant
CASE_0043,PERSON_00368,subject
CASE_0043,PERSON_00404,subject
CASE_0043,PERSON_00278,witness
CASE_0044,PERSON_00164,employee
CASE_0044,PERSON_00142,complainant
CASE_0044,PERSON_00042,associate
CASE_0044,PERSON_00143,associate
CASE_0044,PERSON_00362,owner
CASE_0044,PERSON_00323,owner
CASE_0045,PERSON_00356,witness
CASE_0045,PERSON_00397,complainant
CASE_0045,PERSON_00250,associate
CASE_0046,PERSON_00050,complainant
CASE_0046,PERSON_00390,complainant
CASE_0046,PERSON_00067,associate
CASE_0046,PERSON_00100,complainant
CASE_0046,PERSON_00268,owner
CASE_0046,PERSON_00417,complainant
CASE_0047,PERSON_00082,associate
CASE_0047,PERSON_00352,associate
CASE_0047,PERSON_00200,employee
CASE_0048,PERSON_00278,subject
CASE_0048,PERSON_00175,complainant
CASE_0048,PERSON_00079,subject
CASE_0048,PERSON_00191,complainant
CASE_0048,PERSON_00017,subject
CASE_0049,PERSON_00186,witness
CASE_0049,PERSON_00187,subject
CASE_0049,PERSON_00070,subject
CASE_0049,PERSON_00378,owner
CASE_0050,PERSON_00373,associate
CASE_0050,PERSON_00109,subject
CASE_0050,PERSON_00444,complainant
CASE_0050,PERSON_00108,employee
CASE_0050,PERSON_00364,owner
CASE_0050,PERSON_00194,subject
CASE_0050,PERSON_00353,subject
CASE_0051,PERSON_00199,witness
CASE_0051,PERSON_00121,complainant
CASE_0051,PERSON_00104,associate
CASE_0051,PERSON_00153,owner
CASE_0052,PERSON_00403,owner
CASE_0052,PERSON_00130,employee
CASE_0052,PERSON_00126,witness
CASE_0052,PERSON_00240,complainant
CASE_0052,PERSON_00037,witness
CASE_0053,PERSON_00271,associate
CASE_0053,PERSON_00025,associate
CASE_0053,PERSON_00401,subject
CASE_0054,PERSON_00118,witness
CASE_0054,PERSON_00196,employee
CASE_0054,PERSON_00238,owner
CASE_0054,PERSON_00036,owner
CASE_0054,PERSON_00227,owner
CASE_0055,PERSON_00408,witness
CASE_0055,PERSON_00234,subject
CASE_0055,PERSON_00028,subject
CASE_0055,PERSON_00393,associate
CASE_0055,PERSON_00139,owner
CASE_0055,PERSON_00230,subject
CASE_0055,PERSON_00315,complainant
CASE_0056,PERSON_00015,witness
CASE_0056,PERSON_00352,complainant
CASE_0056,PERSON_00142,associate
CASE_0056,PERSON_00022,complainant
CASE_0057,PERSON_00214,complainant
CASE_0057,PERSON_00407,complainant
CASE_0057,PERSON_00378,witness
CASE_0058,PERSON_00024,subject
CASE_0058,PERSON_00079,witness
CASE_0058,PERSON_00133,associate
CASE_0058,PERSON_00013,witness
CASE_0058,PERSON_00331,associate
CASE_0059,PERSON_00325,employee
CASE_0059,PERSON_00119,complainant
CASE_0059,PERSON_00092,employee
CASE_0059,PERSON_00283,subject
CASE_0059,PERSON_00058,witness
CASE_0060,PERSON_00020,complainant
CASE_0060,PERSON_00056,owner
CASE_0060,PERSON_00130,owner
