vehicle_id,registration,make_model,fuel,registered_state
VEH_0128,TS40AQ0128,Tata Ace,Petrol,Telangana
VEH_0129,TN81DU0129,Hyundai i20,CNG,Tamil Nadu
VEH_0130,DL58KY0130,Honda City,CNG,Delhi
VEH_0131,KA30VZ0131,Ashok Leyland Dost,Petrol,Karnataka
VEH_0132,BR18LZ0132,Maruti Swift,Diesel,Bihar
VEH_0133,TS68BQ0133,Maruti Swift,Diesel,Telangana
VEH_0134,KA56FT0134,Mahindra Bolero,CNG,Karnataka
VEH_0135,KA67PJ0135,Toyota Innova,Diesel,Karnataka
VEH_0136,CG48OT0136,Tata Ace,Petrol,Chhattisgarh
VEH_0137,BR38GL0137,Maruti Swift,CNG,Bihar
VEH_0138,OD83TR0138,Toyota Innova,CNG,Odisha
VEH_0139,KA29VA0139,Honda City,Diesel,Karnataka
VEH_0140,GJ13QQ0140,Tata Nexon,Diesel,Gujarat
VEH_0141,MH50WB0141,Ashok Leyland Dost,CNG,Maharashtra
VEH_0142,KL64DF0142,Maruti Swift,Petrol,Kerala
VEH_0143,KL81PF0143,Maruti Swift,Diesel,Kerala
VEH_0144,WB82LL0144,Hyundai i20,Petrol,West Bengal
VEH_0145,GA18NB0145,Mahindra Bolero,Diesel,Goa
VEH_0146,MH10FK0146,Honda City,Petrol,Maharashtra
VEH_0147,KA69FV0147,Ashok Leyland Dost,Petrol,Karnataka
VEH_0148,MH33BD0148,Tata Nexon,CNG,Maharashtra
VEH_0149,RJ87TS0149,Tata Ace,CNG,Rajasthan
VEH_0150,KL84AG0150,Tata Nexon,CNG,Kerala
VEH_0151,MP89DK0151,Tata Ace,Diesel,Madhya Pradesh
VEH_0152,AP60KP0152,Mahindra Bolero,Diesel,Andhra Pradesh
VEH_0153,UP19PK0153,Tata Nexon,CNG,Uttar Pradesh
VEH_0154,MH35RY0154,Hyundai i20,Petrol,Maharashtra
VEH_0155,BR56TP0155,Ashok Leyland Dost,Petrol,Bihar
VEH_0156,MH43JR0156,Tata Ace,Petrol,Maharashtra
VEH_0157,AP49MX0157,Mahindra Bolero,Petrol,Andhra Pradesh
VEH_0158,UP61EK0158,Ashok Leyland Dost,Diesel,Uttar Pradesh
VEH_0159,TS21VN0159,Mahindra Bolero,Diesel,Telangana
VEH_0160,DL68TE0160,Hyundai i20,Diesel,Delhi
VEH_0161,JH72IP0161,Honda City,CNG,Jharkhand
VEH_0162,TN92GF0162,Tata Ace,Diesel,Tamil Nadu
VEH_0163,MP69GK0163,Honda City,Diesel,Madhya Pradesh
VEH_0164,KL35VP0164,Tata Nexon,CNG,Kerala
VEH_0165,TN34KH0165,Maruti Swift,Diesel,Tamil Nadu
VEH_0166,MP94YI0166,Toyota Innova,CNG,Madhya Pradesh
VEH_0167,JH46PK0167,Hyundai i20,Diesel,Jharkhand
VEH_0168,AP51VM0168,Mahindra Bolero,Petrol,Andhra Pradesh
VEH_0169,GA61FI0169,Toyota Innova,Petrol,Goa
VEH_0170,RJ31RN0170,Honda City,Petrol,Rajasthan
VEH_0171,KA98FS0171,Tata Nexon,Diesel,Karnataka
VEH_0172,WB33PG0172,Hyundai i20,Petrol,West Bengal
VEH_0173,CG98UK0173,Mahindra Bolero,Diesel,Chhattisgarh
VEH_0174,MH79JY0174,Tata Ace,CNG,Maharashtra
VEH_0175,MP29QP0175,Maruti Swift,Petrol,Madhya Pradesh
VEH_0176,RJ71JW0176,Ashok Leyland Dost,CNG,Rajasthan
VEH_0177,JH33RB0177,Ashok Leyland Dost,CNG,Jharkhand
VEH_0178,KL85ZS0178,Tata Nexon,Petrol,Kerala
VEH_0179,DL88NC0179,Tata Ace,Petrol,Delhi
VEH_0180,TS56AC0180,Hyundai i20,CNG,Telangana
VEH_0181,CG56NY0181,Ashok Leyland Dost,Diesel,Chhattisgarh
VEH_0182,GA82AK0182,Honda City,CNG,Goa
VEH_0183,UP98BB0183,Mahindra Bolero,Petrol,Uttar Pradesh
VEH_0184,WB39UH0184,Hyundai i20,CNG,West Bengal
VEH_0185,RJ25LQ0185,Honda City,Diesel,Rajasthan
VEH_0186,BR30SU0186,Tata Ace,Diesel,Bihar
VEH_0187,WB47GB0187,Honda City,Petrol,West Bengal
VEH_0188,OD77TV0188,Maruti Swift,Petrol,Odisha
VEH_0189,DL42WH0189,Tata Ace,Petrol,Delhi
VEH_0190,WB68OS0190,Toyota Innova,CNG,West Bengal
VEH_0191,WB83DY0191,Maruti Swift,Diesel,West Bengal
VEH_0192,GA98ZD0192,Maruti Swift,Petrol,Goa
VEH_0193,KL84VR0193,Hyundai i20,CNG,Kerala
VEH_0194,KL76CU0194,Maruti Swift,CNG,Kerala
VEH_0195,CG86NC0195,Honda City,Petrol,Chhattisgarh
VEH_0196,MP47EV0196,Tata Ace,Petrol,Madhya Pradesh
VEH_0197,GA75UQ0197,Maruti Swift,Petrol,Goa
VEH_0198,JH60MS0198,Ashok Leyland Dost,Petrol,Jharkhand
VEH_0199,AP56WG0199,Hyundai i20,Petrol,Andhra Pradesh
VEH_0200,MP27QI0200,Honda City,Petrol,Madhya Pradesh
VEH_0201,OD51JN0201,Honda City,CNG,Odisha
VEH_0202,GJ44NF0202,Toyota Innova,Petrol,Gujarat
VEH_0203,TS12YA0203,Hyundai i20,Diesel,Telangana
VEH_0204,CG42JS0204,Mahindra Bolero,Diesel,Chhattisgarh
VEH_0205,MH40UZ0205,Toyota Innova,Diesel,Maharashtra
VEH_0206,BR13CM0206,Honda City,Diesel,Bihar
VEH_0207,KL97AP0207,Ashok Leyland Dost,CNG,Kerala
VEH_0208,TN27TG0208,Ashok Leyland Dost,Diesel,Tamil Nadu
VEH_0209,TS94LM0209,Mahindra Bolero,Petrol,Telangana
VEH_0210,KA92SI0210,Tata Ace,CNG,Karnataka
VEH_0211,BR35QG0211,Hyundai i20,CNG,Bihar
VEH_0212,MH67WQ0212,Mahindra Bolero,Diesel,Maharashtra
VEH_0213,GA63ZD0213,Toyota Innova,Diesel,Goa
VEH_0214,TN89WC0214,Ashok Leyland Dost,CNG,Tamil Nadu
VEH_0215,DL13BU0215,Toyota Innova,Petrol,Delhi
VEH_0216,KA27KH0216,Tata Nexon,Diesel,Karnataka
VEH_0217,CG34SA0217,Tata Nexon,Petrol,Chhattisgarh
VEH_0218,MH49OY0218,Toyota Innova,Diesel,Maharashtra
VEH_0219,AP26HC0219,Toyota Innova,Diesel,Andhra Pradesh
VEH_0220,CG80QG0220,Mahindra Bolero,Diesel,Chhattisgarh
VEH_0221,KA58KS0221,Ashok Leyland Dost,Diesel,Karnataka
VEH_0222,OD83BR0222,Tata Nexon,Diesel,Odisha
VEH_0223,OD71BT0223,Ashok Leyland Dost,CNG,Odisha
VEH_0224,UP62BI0224,Tata Nexon,CNG,Uttar Pradesh
VEH_0225,CG50DS0225,Ashok Leyland Dost,Petrol,Chhattisgarh
VEH_0226,MH28YR0226,Mahindra Bolero,CNG,Maharashtra
VEH_0227,KA40RN0227,Ashok Leyland Dost,CNG,Karnataka
VEH_0228,CG85RX0228,Honda City,Petrol,Chhattisgarh
VEH_0229,MP84YC0229,Maruti Swift,Diesel,Madhya Pradesh
VEH_0230,AP24ZU0230,Mahindra Bolero,Petrol,Andhra Pradesh
