document_id,case_id,document_type,file_path,language,source_environment
DOC00077,C0036,FIR_NOTE,documents/DOC00077.txt,en,synthetic
DOC00078,C0007,FIR_NOTE,documents/DOC00078.txt,en,synthetic
DOC00079,C0030,FIR_NOTE,documents/DOC00079.txt,en,synthetic
DOC00080,C0015,FIR_NOTE,documents/DOC00080.txt,en,synthetic
DOC00081,C0029,FIR_NOTE,documents/DOC00081.txt,en,synthetic
DOC00082,C0024,FIR_NOTE,documents/DOC00082.txt,en,synthetic
DOC00083,C0024,FIR_NOTE,documents/DOC00083.txt,en,synthetic
DOC00084,C0020,FIR_NOTE,documents/DOC00084.txt,en,synthetic
DOC00085,C0013,FIR_NOTE,documents/DOC00085.txt,en,synthetic
DOC00086,C0018,FIR_NOTE,documents/DOC00086.txt,en,synthetic
DOC00087,C0028,FIR_NOTE,documents/DOC00087.txt,en,synthetic
DOC00088,C0016,FIR_NOTE,documents/DOC00088.txt,en,synthetic
DOC00089,C0028,FIR_NOTE,documents/DOC00089.txt,en,synthetic
DOC00090,C0009,FIR_NOTE,documents/DOC00090.txt,en,synthetic
DOC00091,C0012,FIR_NOTE,documents/DOC00091.txt,en,synthetic
DOC00092,C0033,FIR_NOTE,documents/DOC00092.txt,en,synthetic
DOC00093,C0005,FIR_NOTE,documents/DOC00093.txt,en,synthetic
DOC00094,C0033,FIR_NOTE,documents/DOC00094.txt,en,synthetic
DOC00095,C0028,FIR_NOTE,documents/DOC00095.txt,en,synthetic
DOC00096,C0018,FIR_NOTE,documents/DOC00096.txt,en,synthetic
DOC00097,C0034,FIR_NOTE,documents/DOC00097.txt,en,synthetic
DOC00098,C0029,FIR_NOTE,documents/DOC00098.txt,en,synthetic
DOC00099,C0025,FIR_NOTE,documents/DOC00099.txt,en,synthetic
DOC00100,C0001,FIR_NOTE,documents/DOC00100.txt,en,synthetic
DOC00101,C0006,FIR_NOTE,documents/DOC00101.txt,en,synthetic
DOC00102,C0033,FIR_NOTE,documents/DOC00102.txt,en,synthetic
DOC00103,C0030,FIR_NOTE,documents/DOC00103.txt,en,synthetic
DOC00104,C0025,FIR_NOTE,documents/DOC00104.txt,en,synthetic
DOC00105,C0031,FIR_NOTE,documents/DOC00105.txt,en,synthetic
DOC00106,C0036,FIR_NOTE,documents/DOC00106.txt,en,synthetic
DOC00107,C0033,FIR_NOTE,documents/DOC00107.txt,en,synthetic
DOC00108,C0009,FIR_NOTE,documents/DOC00108.txt,en,synthetic
DOC00109,C0031,FIR_NOTE,documents/DOC00109.txt,en,synthetic
DOC00110,C0027,FIR_NOTE,documents/DOC00110.txt,en,synthetic
DOC00111,C0007,FIR_NOTE,documents/DOC00111.txt,en,synthetic
DOC00112,C0001,FIR_NOTE,documents/DOC00112.txt,en,synthetic
DOC00113,C0033,FIR_NOTE,documents/DOC00113.txt,en,synthetic
DOC00114,C0034,FIR_NOTE,documents/DOC00114.txt,en,synthetic
DOC00115,C0001,FIR_NOTE,documents/DOC00115.txt,en,synthetic
DOC00116,C0022,FIR_NOTE,documents/DOC00116.txt,en,synthetic
DOC00117,C0004,FIR_NOTE,documents/DOC00117.txt,en,synthetic
DOC00118,C0012,FIR_NOTE,documents/DOC00118.txt,en,synthetic
DOC00119,C0029,FIR_NOTE,documents/DOC00119.txt,en,synthetic
DOC00120,C0003,FIR_NOTE,documents/DOC00120.txt,en,synthetic
