evidence_id,case_id,type,collected_date,status
EVID_00071,CASE_0036,vehicle seizure,2023-03-17,Sealed
EVID_00072,CASE_0036,company register,2023-03-05,Sealed
EVID_00073,CASE_0037,phone extraction,2024-02-09,Indexed
EVID_00074,CASE_0037,CCTV still,2024-02-09,Under Review
EVID_00075,CASE_0038,email printout,2023-09-30,Sealed
EVID_00076,CASE_0038,vehicle seizure,2023-10-03,Under Review
EVID_00077,CASE_0039,device image,2024-07-23,Indexed
EVID_00078,CASE_0039,statement,2024-07-18,Sealed
EVID_00079,CASE_0040,travel record,2022-04-04,Under Review
EVID_00080,CASE_0040,device image,2022-04-17,Indexed
EVID_00081,CASE_0041,bank statement,2024-10-18,Sealed
EVID_00082,CASE_0041,forensic report,2024-10-12,Indexed
EVID_00083,CASE_0042,travel record,2023-05-06,Sealed
EVID_00084,CASE_0042,company register,2023-04-29,Under Review
EVID_00085,CASE_0043,device image,2022-03-03,Sealed
EVID_00086,CASE_0043,statement,2022-02-25,Indexed
EVID_00087,CASE_0044,travel record,2022-10-18,Indexed
EVID_00088,CASE_0044,vehicle seizure,2022-10-23,Under Review
EVID_00089,CASE_0045,device image,2023-02-08,Sealed
EVID_00090,CASE_0045,phone extraction,2023-01-23,Under Review
EVID_00091,CASE_0046,device image,2024-04-09,Sealed
EVID_00092,CASE_0046,vehicle seizure,2024-05-01,Received
EVID_00093,CASE_0047,travel record,2025-03-31,Indexed
EVID_00094,CASE_0047,statement,2025-04-13,Sealed
EVID_00095,CASE_0048,property deed,2023-05-19,Indexed
EVID_00096,CASE_0048,company register,2023-05-15,Under Review
EVID_00097,CASE_0049,travel record,2026-02-02,Indexed
EVID_00098,CASE_0049,bank statement,2026-02-03,Sealed
EVID_00099,CASE_0050,phone extraction,2023-05-28,Under Review
EVID_00100,CASE_0050,company register,2023-06-18,Indexed
EVID_00101,CASE_0051,forensic report,2023-04-20,Indexed
EVID_00102,CASE_0051,bank statement,2023-04-15,Indexed
EVID_00103,CASE_0052,device image,2023-05-19,Received
EVID_00104,CASE_0052,email printout,2023-06-05,Received
EVID_00105,CASE_0053,company register,2022-03-12,Under Review
EVID_00106,CASE_0053,statement,2022-03-19,Sealed
EVID_00107,CASE_0054,forensic report,2025-07-03,Sealed
EVID_00108,CASE_0054,travel record,2025-06-30,Under Review
EVID_00109,CASE_0055,device image,2022-03-06,Under Review
EVID_00110,CASE_0055,company register,2022-03-31,Received
EVID_00111,CASE_0056,bank statement,2023-12-01,Under Review
EVID_00112,CASE_0056,device image,2023-11-14,Indexed
EVID_00113,CASE_0057,vehicle seizure,2026-01-25,Indexed
EVID_00114,CASE_0057,forensic report,2026-02-12,Sealed
EVID_00115,CASE_0058,bank statement,2025-11-06,Sealed
EVID_00116,CASE_0058,device image,2025-11-22,Sealed
EVID_00117,CASE_0059,CCTV still,2024-04-13,Sealed
EVID_00118,CASE_0059,device image,2024-03-18,Received
EVID_00119,CASE_0060,statement,2023-03-16,Sealed
EVID_00120,CASE_0060,property deed,2023-03-30,Under Review
EVID_00121,CASE_0005,forensic report,2025-07-12,Sealed
EVID_00122,CASE_0033,forensic report,2025-07-04,Received
EVID_00123,CASE_0026,vehicle seizure,2025-09-19,Received
EVID_00124,CASE_0042,vehicle seizure,2025-12-21,Under Review
EVID_00125,CASE_0008,device image,2025-02-27,Indexed
EVID_00126,CASE_0020,CCTV still,2024-10-15,Under Review
EVID_00127,CASE_0018,travel record,2025-07-07,Received
EVID_00128,CASE_0013,property deed,2025-06-16,Under Review
EVID_00129,CASE_0014,company register,2024-07-27,Sealed
EVID_00130,CASE_0016,statement,2025-10-08,Sealed
EVID_00131,CASE_0036,email printout,2025-01-15,Received
EVID_00132,CASE_0055,company register,2025-01-03,Under Review
EVID_00133,CASE_0049,vehicle seizure,2026-02-28,Sealed
EVID_00134,CASE_0021,email printout,2026-05-29,Under Review
EVID_00135,CASE_0012,phone extraction,2025-12-22,Sealed
EVID_00136,CASE_0056,vehicle seizure,2025-01-24,Under Review
EVID_00137,CASE_0004,travel record,2026-01-11,Sealed
EVID_00138,CASE_0007,property deed,2026-01-13,Indexed
EVID_00139,CASE_0018,travel record,2025-12-15,Received
EVID_00140,CASE_0030,company register,2024-11-11,Sealed
EVID_00141,CASE_0048,company register,2025-08-23,Sealed
EVID_00142,CASE_0003,vehicle seizure,2025-09-01,Under Review
EVID_00143,CASE_0048,company register,2025-09-19,Sealed
EVID_00144,CASE_0027,vehicle seizure,2025-06-13,Received
EVID_00145,CASE_0057,company register,2026-06-07,Received
EVID_00146,CASE_0054,phone extraction,2026-04-12,Indexed
EVID_00147,CASE_0013,travel record,2024-11-11,Sealed
EVID_00148,CASE_0050,company register,2026-03-28,Received
EVID_00149,CASE_0006,company register,2025-11-29,Sealed
EVID_00150,CASE_0017,property deed,2025-07-12,Received
EVID_00151,CASE_0020,bank statement,2025-05-11,Under Review
EVID_00152,CASE_0042,forensic report,2024-03-12,Received
EVID_00153,CASE_0010,device image,2026-01-14,Received
EVID_00154,CASE_0051,bank statement,2023-11-23,Sealed
EVID_00155,CASE_0020,email printout,2025-07-09,Under Review
EVID_00156,CASE_0033,travel record,2026-06-06,Under Review
EVID_00157,CASE_0012,device image,2025-11-05,Received
EVID_00158,CASE_0037,email printout,2026-02-11,Indexed
EVID_00159,CASE_0028,email printout,2022-06-17,Under Review
EVID_00160,CASE_0030,bank statement,2025-04-03,Under Review
EVID_00161,CASE_0038,property deed,2024-02-24,Under Review
EVID_00162,CASE_0002,CCTV still,2025-02-18,Sealed
EVID_00163,CASE_0021,vehicle seizure,2025-01-07,Under Review
EVID_00164,CASE_0027,statement,2026-04-22,Sealed
EVID_00165,CASE_0001,device image,2025-11-22,Indexed
EVID_00166,CASE_0040,travel record,2022-11-09,Received
EVID_00167,CASE_0038,travel record,2025-11-17,Indexed
EVID_00168,CASE_0019,bank statement,2026-01-19,Sealed
EVID_00169,CASE_0022,phone extraction,2026-02-16,Received
EVID_00170,CASE_0018,travel record,2024-12-04,Indexed
EVID_00171,CASE_0028,property deed,2024-09-24,Indexed
EVID_00172,CASE_0013,device image,2026-02-13,Indexed
EVID_00173,CASE_0016,CCTV still,2026-01-14,Indexed
EVID_00174,CASE_0003,phone extraction,2026-01-16,Indexed
EVID_00175,CASE_0043,statement,2022-10-28,Indexed
EVID_00176,CASE_0021,email printout,2026-05-21,Indexed
EVID_00177,CASE_0014,vehicle seizure,2024-02-07,Sealed
EVID_00178,CASE_0041,device image,2024-10-04,Received
EVID_00179,CASE_0026,statement,2025-05-20,Received
EVID_00180,CASE_0003,property deed,2026-06-10,Received
EVID_00181,CASE_0005,statement,2024-10-29,Received
EVID_00182,CASE_0054,phone extraction,2026-06-04,Received
EVID_00183,CASE_0012,email printout,2025-08-21,Sealed
EVID_00184,CASE_0055,travel record,2026-04-08,Received
EVID_00185,CASE_0005,vehicle seizure,2024-06-26,Indexed
EVID_00186,CASE_0032,device image,2025-05-16,Indexed
EVID_00187,CASE_0006,property deed,2025-12-03,Received
EVID_00188,CASE_0025,forensic report,2022-12-19,Received
EVID_00189,CASE_0048,CCTV still,2026-04-19,Received
EVID_00190,CASE_0051,company register,2024-08-12,Received
EVID_00191,CASE_0039,phone extraction,2025-03-16,Under Review
EVID_00192,CASE_0042,email printout,2023-05-02,Sealed
EVID_00193,CASE_0006,property deed,2026-06-23,Sealed
EVID_00194,CASE_0015,statement,2025-05-10,Indexed
EVID_00195,CASE_0019,vehicle seizure,2025-07-01,Indexed
EVID_00196,CASE_0057,property deed,2026-02-16,Sealed
EVID_00197,CASE_0030,forensic report,2023-11-13,Indexed
EVID_00198,CASE_0004,company register,2025-05-10,Indexed
EVID_00199,CASE_0040,travel record,2023-01-28,Under Review
EVID_00200,CASE_0045,email printout,2023-10-16,Under Review
EVID_00201,CASE_0028,email printout,2023-09-18,Indexed
EVID_00202,CASE_0008,phone extraction,2026-04-17,Received
EVID_00203,CASE_0016,vehicle seizure,2024-06-11,Under Review
EVID_00204,CASE_0038,vehicle seizure,2025-06-26,Received
EVID_00205,CASE_0046,company register,2025-05-14,Indexed
EVID_00206,CASE_0011,forensic report,2026-01-20,Sealed
EVID_00207,CASE_0016,email printout,2025-06-29,Received
EVID_00208,CASE_0034,forensic report,2022-05-09,Indexed
EVID_00209,CASE_0005,bank statement,2024-07-19,Under Review
EVID_00210,CASE_0055,property deed,2024-08-26,Sealed
EVID_00211,CASE_0030,property deed,2023-05-12,Sealed
EVID_00212,CASE_0031,statement,2024-11-16,Under Review
EVID_00213,CASE_0039,CCTV still,2024-10-09,Indexed
EVID_00214,CASE_0046,vehicle seizure,2025-12-06,Received
EVID_00215,CASE_0058,phone extraction,2026-06-06,Under Review
EVID_00216,CASE_0004,statement,2026-01-06,Sealed
EVID_00217,CASE_0047,travel record,2026-01-18,Sealed
EVID_00218,CASE_0032,vehicle seizure,2024-05-21,Indexed
EVID_00219,CASE_0023,email printout,2025-01-11,Received
EVID_00220,CASE_0037,email printout,2024-07-11,Indexed
EVID_00221,CASE_0036,phone extraction,2024-01-04,Received
EVID_00222,CASE_0026,email printout,2023-04-04,Under Review
EVID_00223,CASE_0004,travel record,2025-08-16,Sealed
EVID_00224,CASE_0038,statement,2026-01-08,Sealed
EVID_00225,CASE_0042,property deed,2025-05-26,Indexed
EVID_00226,CASE_0040,forensic report,2026-01-31,Indexed
EVID_00227,CASE_0028,forensic report,2025-06-23,Under Review
EVID_00228,CASE_0035,CCTV still,2022-11-15,Under Review
EVID_00229,CASE_0039,property deed,2025-09-14,Indexed
EVID_00230,CASE_0022,travel record,2025-09-06,Sealed
EVID_00231,CASE_0056,travel record,2023-12-19,Indexed
EVID_00232,CASE_0036,CCTV still,2024-03-17,Received
EVID_00233,CASE_0024,statement,2025-08-02,Received
EVID_00234,CASE_0005,property deed,2026-06-13,Under Review
EVID_00235,CASE_0013,property deed,2025-02-10,Under Review
EVID_00236,CASE_0013,bank statement,2025-07-16,Under Review
EVID_00237,CASE_0045,travel record,2023-03-17,Received
EVID_00238,CASE_0035,email printout,2023-09-28,Under Review
EVID_00239,CASE_0059,device image,2024-05-12,Received
EVID_00240,CASE_0036,device image,2024-10-22,Under Review
EVID_00241,CASE_0051,property deed,2023-03-19,Indexed
EVID_00242,CASE_0010,statement,2025-04-06,Sealed
EVID_00243,CASE_0050,bank statement,2024-12-16,Sealed
EVID_00244,CASE_0038,CCTV still,2026-04-15,Under Review
EVID_00245,CASE_0048,statement,2026-02-08,Indexed
EVID_00246,CASE_0053,device image,2024-04-07,Under Review
EVID_00247,CASE_0041,CCTV still,2025-11-02,Sealed
EVID_00248,CASE_0042,statement,2025-04-19,Under Review
EVID_00249,CASE_0050,email printout,2023-11-03,Received
EVID_00250,CASE_0013,travel record,2025-08-16,Under Review
EVID_00251,CASE_0029,company register,2024-01-01,Received
EVID_00252,CASE_0024,travel record,2026-05-10,Received
EVID_00253,CASE_0027,travel record,2025-10-14,Sealed
EVID_00254,CASE_0055,phone extraction,2022-10-25,Under Review
EVID_00255,CASE_0011,statement,2025-11-26,Indexed
EVID_00256,CASE_0057,CCTV still,2026-01-24,Sealed
EVID_00257,CASE_0025,bank statement,2024-06-26,Under Review
EVID_00258,CASE_0014,phone extraction,2025-09-09,Received
EVID_00259,CASE_0052,phone extraction,2024-01-17,Received
EVID_00260,CASE_0052,statement,2026-02-14,Indexed
