person_id,org_id,role,valid_from,valid_to
PERSON_00030,ORG_0014,Teacher,2020-01-01,2023-09-29
PERSON_00030,ORG_0036,Electrician,2023-09-30,
PERSON_00031,ORG_0042,Courier Supervisor,2020-01-01,2024-09-14
PERSON_00031,ORG_0006,Software Analyst,2024-09-15,
PERSON_00032,ORG_0054,Property Consultant,2020-01-01,2023-07-02
PERSON_00032,ORG_0018,Courier Supervisor,2023-07-03,
PERSON_00033,ORG_0008,Sales Executive,2024-07-21,2026-02-21
PERSON_00034,ORG_0031,Mechanic,2022-10-24,
PERSON_00035,ORG_0017,Warehouse Supervisor,2020-01-01,2023-11-11
PERSON_00035,ORG_0002,Mechanic,2023-11-12,
PERSON_00036,ORG_0024,Property Consultant,2024-05-07,2026-06-30
PERSON_00037,ORG_0017,Engineer,2021-03-10,2023-02-21
PERSON_00038,ORG_0050,Broker,2020-01-01,2023-03-17
PERSON_00038,ORG_0047,Agent,2023-03-18,
PERSON_00039,ORG_0036,Field Officer,2021-01-14,
PERSON_00040,ORG_0015,Teacher,2020-04-04,
PERSON_00041,ORG_0034,Security Guard,2020-01-01,2023-11-20
PERSON_00041,ORG_0021,Shop Owner,2023-11-21,
PERSON_00042,ORG_0044,Engineer,2020-01-01,2023-11-05
PERSON_00042,ORG_0015,Consultant,2023-11-06,
PERSON_00043,ORG_0025,Property Consultant,2020-01-01,2024-09-22
PERSON_00043,ORG_0038,Broker,2024-09-23,
PERSON_00044,ORG_0024,Technician,2022-05-01,2023-06-15
PERSON_00045,ORG_0015,Field Officer,2020-01-01,2024-04-29
PERSON_00045,ORG_0029,Engineer,2024-04-30,
PERSON_00046,ORG_0018,Accountant,2022-04-29,2024-06-19
PERSON_00047,ORG_0026,Driver,2020-01-01,2023-01-06
PERSON_00047,ORG_0041,Receptionist,2023-01-07,
PERSON_00048,ORG_0038,Agent,2021-01-20,
PERSON_00049,ORG_0026,Property Consultant,2024-02-04,
PERSON_00050,ORG_0054,Software Analyst,2021-08-25,
PERSON_00051,ORG_0042,Jewellery Trader,2023-05-16,2024-04-11
PERSON_00052,ORG_0016,Warehouse Supervisor,2020-01-01,2024-03-16
PERSON_00052,ORG_0043,Software Analyst,2024-03-17,
PERSON_00053,ORG_0048,Jewellery Trader,2020-01-01,2023-02-06
PERSON_00053,ORG_0027,Nurse,2023-02-07,
PERSON_00054,ORG_0049,Broker,2021-03-01,
PERSON_00055,ORG_0035,Receptionist,2020-01-01,2023-08-11
PERSON_00055,ORG_0033,Accountant,2023-08-12,
PERSON_00056,ORG_0018,Engineer,2020-02-11,
PERSON_00057,ORG_0030,Broker,2024-02-12,
PERSON_00058,ORG_0052,Warehouse Supervisor,2020-01-01,2023-08-02
PERSON_00058,ORG_0047,Security Guard,2023-08-03,
PERSON_00059,ORG_0024,Engineer,2021-08-29,
PERSON_00060,ORG_0008,Engineer,2020-04-17,
PERSON_00061,ORG_0053,Accountant,2023-05-06,
PERSON_00062,ORG_0015,Shop Owner,2022-03-15,
PERSON_00063,ORG_0043,Consultant,2023-09-23,
PERSON_00064,ORG_0011,Property Consultant,2020-01-01,2024-12-01
PERSON_00064,ORG_0037,Courier Supervisor,2024-12-02,
PERSON_00065,ORG_0008,Courier Supervisor,2020-01-01,2024-05-22
PERSON_00065,ORG_0048,Broker,2024-05-23,
PERSON_00066,ORG_0034,Field Officer,2023-09-03,
PERSON_00067,ORG_0026,Jewellery Trader,2020-01-01,2024-09-26
PERSON_00067,ORG_0031,Nurse,2024-09-27,
PERSON_00068,ORG_0001,Sales Executive,2023-02-21,
PERSON_00069,ORG_0053,Engineer,2024-01-17,
PERSON_00070,ORG_0024,Sales Executive,2020-01-01,2023-12-25
PERSON_00070,ORG_0005,Property Consultant,2023-12-26,
PERSON_00071,ORG_0008,Shop Owner,2020-01-01,2024-07-02
PERSON_00071,ORG_0023,Property Consultant,2024-07-03,
PERSON_00072,ORG_0004,Courier Supervisor,2023-10-09,
PERSON_00073,ORG_0016,Security Guard,2020-10-30,
PERSON_00074,ORG_0020,Clerk,2024-05-24,
PERSON_00075,ORG_0018,Accountant,2024-07-06,
PERSON_00076,ORG_0007,Warehouse Supervisor,2020-08-26,
PERSON_00077,ORG_0044,Warehouse Supervisor,2023-01-29,
PERSON_00078,ORG_0037,Accountant,2020-01-01,2024-08-25
PERSON_00078,ORG_0045,Security Guard,2024-08-26,
PERSON_00079,ORG_0026,Receptionist,2020-01-01,2024-03-17
PERSON_00079,ORG_0041,Sales Executive,2024-03-18,
PERSON_00080,ORG_0045,Accountant,2020-10-21,
PERSON_00081,ORG_0041,Shop Owner,2023-02-14,
PERSON_00082,ORG_0028,Shop Owner,2021-05-04,
PERSON_00083,ORG_0039,Receptionist,2024-12-24,
PERSON_00084,ORG_0020,Electrician,2023-06-25,
PERSON_00085,ORG_0035,Warehouse Supervisor,2023-06-11,
PERSON_00086,ORG_0046,Shop Owner,2022-11-07,2024-09-09
PERSON_00087,ORG_0020,Engineer,2022-09-13,2024-12-19
PERSON_00088,ORG_0013,Technician,2022-09-11,2023-07-30
PERSON_00089,ORG_0003,Property Consultant,2020-01-12,2021-12-05
PERSON_00090,ORG_0043,Field Officer,2020-10-10,2022-05-30
PERSON_00091,ORG_0053,Engineer,2021-03-03,2023-04-16
PERSON_00092,ORG_0003,Accountant,2020-05-13,
PERSON_00093,ORG_0014,Field Officer,2023-05-29,2024-06-12
PERSON_00094,ORG_0039,Jewellery Trader,2020-01-01,2024-02-29
PERSON_00094,ORG_0009,Field Officer,2024-03-01,
PERSON_00095,ORG_0026,Accountant,2023-12-10,
PERSON_00096,ORG_0037,Clerk,2025-01-22,
PERSON_00097,ORG_0041,Engineer,2022-02-12,
PERSON_00098,ORG_0029,Accountant,2020-01-01,2024-02-02
PERSON_00098,ORG_0046,Mechanic,2024-02-03,
PERSON_00099,ORG_0054,Electrician,2020-11-15,
PERSON_00100,ORG_0043,Electrician,2020-06-02,2022-11-12
PERSON_00101,ORG_0047,Jewellery Trader,2022-10-01,
PERSON_00102,ORG_0043,Field Officer,2020-01-01,2024-08-12
PERSON_00102,ORG_0023,Consultant,2024-08-13,
PERSON_00103,ORG_0007,Jewellery Trader,2021-03-23,2023-07-21
PERSON_00104,ORG_0035,Shop Owner,2023-07-20,2025-04-02
PERSON_00105,ORG_0012,Nurse,2021-05-30,
PERSON_00106,ORG_0004,Technician,2021-09-23,2024-01-27
PERSON_00107,ORG_0050,Technician,2020-01-01,2024-01-08
PERSON_00107,ORG_0028,Sales Executive,2024-01-09,
PERSON_00108,ORG_0023,Shop Owner,2020-01-01,2023-12-07
PERSON_00108,ORG_0031,Receptionist,2023-12-08,
PERSON_00109,ORG_0050,Receptionist,2023-07-25,2025-04-20
PERSON_00110,ORG_0030,Property Consultant,2024-12-04,2026-06-30
PERSON_00111,ORG_0044,Shop Owner,2021-01-05,
PERSON_00112,ORG_0045,Warehouse Supervisor,2024-02-08,
PERSON_00113,ORG_0041,Engineer,2020-01-01,2024-10-04
PERSON_00113,ORG_0046,Shop Owner,2024-10-05,
PERSON_00114,ORG_0030,Security Guard,2020-02-05,
PERSON_00115,ORG_0031,Nurse,2020-01-01,2023-08-22
PERSON_00115,ORG_0019,Teacher,2023-08-23,
PERSON_00116,ORG_0003,Software Analyst,2020-01-01,2024-02-12
PERSON_00116,ORG_0038,Consultant,2024-02-13,
PERSON_00117,ORG_0005,Security Guard,2024-10-01,
PERSON_00118,ORG_0037,Shop Owner,2024-11-17,2026-03-10
PERSON_00119,ORG_0037,Security Guard,2023-02-17,
PERSON_00120,ORG_0046,Technician,2024-02-09,
PERSON_00121,ORG_0033,Nurse,2020-04-04,
PERSON_00122,ORG_0054,Electrician,2020-01-01,2023-02-25
PERSON_00122,ORG_0034,Teacher,2023-02-26,
PERSON_00123,ORG_0028,Nurse,2022-02-10,
PERSON_00124,ORG_0049,Engineer,2022-09-01,
PERSON_00125,ORG_0037,Technician,2020-06-11,
PERSON_00126,ORG_0022,Sales Executive,2020-01-01,2023-01-11
PERSON_00126,ORG_0027,Teacher,2023-01-12,
PERSON_00127,ORG_0046,Clerk,2020-01-01,2024-01-02
PERSON_00127,ORG_0037,Mechanic,2024-01-03,
PERSON_00128,ORG_0037,Sales Executive,2020-01-01,2023-03-02
PERSON_00128,ORG_0055,Consultant,2023-03-03,
PERSON_00129,ORG_0034,Warehouse Supervisor,2023-11-15,2026-01-02
PERSON_00130,ORG_0042,Consultant,2020-05-08,
PERSON_00131,ORG_0052,Driver,2024-05-22,
PERSON_00132,ORG_0013,Sales Executive,2020-01-01,2024-11-16
PERSON_00132,ORG_0046,Driver,2024-11-17,
PERSON_00133,ORG_0015,Engineer,2020-01-01,2023-02-03
PERSON_00133,ORG_0046,Broker,2023-02-04,
PERSON_00134,ORG_0020,Courier Supervisor,2020-01-01,2023-02-10
PERSON_00134,ORG_0042,Shop Owner,2023-02-11,
PERSON_00135,ORG_0017,Clerk,2020-01-01,2024-01-27
PERSON_00135,ORG_0009,Teacher,2024-01-28,
PERSON_00136,ORG_0047,Security Guard,2023-07-08,
PERSON_00137,ORG_0010,Receptionist,2023-03-07,2025-07-22
PERSON_00138,ORG_0054,Field Officer,2021-01-25,
PERSON_00139,ORG_0015,Mechanic,2020-01-01,2023-07-24
PERSON_00139,ORG_0024,Consultant,2023-07-25,
PERSON_00140,ORG_0023,Jewellery Trader,2025-01-18,
PERSON_00141,ORG_0033,Courier Supervisor,2020-01-01,2023-10-09
PERSON_00141,ORG_0042,Mechanic,2023-10-10,
PERSON_00142,ORG_0030,Sales Executive,2020-01-01,2023-04-05
PERSON_00142,ORG_0013,Courier Supervisor,2023-04-06,
PERSON_00143,ORG_0042,Software Analyst,2020-01-01,2023-05-18
PERSON_00143,ORG_0052,Engineer,2023-05-19,
PERSON_00144,ORG_0010,Receptionist,2023-12-30,2025-11-15
PERSON_00145,ORG_0052,Driver,2021-11-05,2024-03-16
PERSON_00146,ORG_0050,Accountant,2020-01-01,2024-07-19
PERSON_00146,ORG_0017,Shop Owner,2024-07-20,
PERSON_00147,ORG_0042,Driver,2021-01-11,2022-05-22
PERSON_00148,ORG_0011,Property Consultant,2020-01-01,2023-03-19
PERSON_00148,ORG_0010,Shop Owner,2023-03-20,
PERSON_00149,ORG_0036,Mechanic,2021-10-11,2022-08-27
PERSON_00150,ORG_0015,Technician,2024-02-04,
PERSON_00151,ORG_0045,Mechanic,2020-01-01,2023-06-06
PERSON_00151,ORG_0007,Warehouse Supervisor,2023-06-07,
PERSON_00152,ORG_0004,Driver,2022-05-23,2024-05-22
PERSON_00153,ORG_0053,Clerk,2023-11-06,
PERSON_00154,ORG_0026,Consultant,2021-08-14,
PERSON_00155,ORG_0028,Electrician,2020-01-01,2024-11-14
PERSON_00155,ORG_0024,Software Analyst,2024-11-15,
PERSON_00156,ORG_0037,Jewellery Trader,2023-08-23,
PERSON_00157,ORG_0026,Receptionist,2020-01-01,2024-05-01
PERSON_00157,ORG_0040,Security Guard,2024-05-02,
PERSON_00158,ORG_0013,Broker,2020-01-01,2023-03-25
PERSON_00158,ORG_0018,Shop Owner,2023-03-26,
PERSON_00159,ORG_0034,Warehouse Supervisor,2022-11-22,
PERSON_00160,ORG_0023,Broker,2020-09-11,
PERSON_00161,ORG_0028,Agent,2020-01-01,2023-09-11
PERSON_00161,ORG_0024,Sales Executive,2023-09-12,
PERSON_00162,ORG_0011,Clerk,2020-01-01,2023-08-27
PERSON_00162,ORG_0003,Property Consultant,2023-08-28,
PERSON_00163,ORG_0023,Jewellery Trader,2021-06-18,
PERSON_00164,ORG_0018,Shop Owner,2020-01-01,2023-04-14
PERSON_00164,ORG_0031,Electrician,2023-04-15,
PERSON_00165,ORG_0009,Security Guard,2022-03-09,
PERSON_00166,ORG_0042,Technician,2020-01-01,2023-10-16
PERSON_00166,ORG_0009,Teacher,2023-10-17,
PERSON_00167,ORG_0010,Nurse,2024-07-21,
PERSON_00168,ORG_0024,Shop Owner,2020-01-01,2023-11-22
PERSON_00168,ORG_0017,Clerk,2023-11-23,
PERSON_00169,ORG_0046,Courier Supervisor,2020-01-01,2023-10-02
PERSON_00169,ORG_0055,Field Officer,2023-10-03,
PERSON_00170,ORG_0008,Teacher,2020-01-01,2023-01-31
PERSON_00170,ORG_0040,Technician,2023-02-01,
PERSON_00171,ORG_0033,Receptionist,2020-01-01,2023-09-03
PERSON_00171,ORG_0023,Sales Executive,2023-09-04,
PERSON_00172,ORG_0043,Engineer,2023-05-30,
PERSON_00173,ORG_0028,Agent,2020-01-01,2023-08-11
PERSON_00173,ORG_0037,Mechanic,2023-08-12,
PERSON_00174,ORG_0020,Receptionist,2020-04-19,
PERSON_00175,ORG_0022,Sales Executive,2020-01-01,2023-07-08
PERSON_00175,ORG_0051,Engineer,2023-07-09,
PERSON_00176,ORG_0028,Software Analyst,2023-04-02,2024-08-11
PERSON_00177,ORG_0002,Agent,2022-07-05,2023-06-27
PERSON_00178,ORG_0042,Nurse,2020-01-01,2024-11-20
PERSON_00178,ORG_0040,Clerk,2024-11-21,
PERSON_00179,ORG_0027,Broker,2020-01-01,2023-01-10
PERSON_00179,ORG_0028,Warehouse Supervisor,2023-01-11,
PERSON_00180,ORG_0014,Warehouse Supervisor,2021-02-16,2023-01-15
PERSON_00181,ORG_0053,Agent,2020-01-01,2023-07-31
PERSON_00181,ORG_0052,Nurse,2023-08-01,
PERSON_00182,ORG_0044,Property Consultant,2020-09-29,
PERSON_00183,ORG_0015,Jewellery Trader,2024-08-16,
PERSON_00184,ORG_0040,Nurse,2022-08-20,
PERSON_00185,ORG_0039,Agent,2020-01-01,2024-03-22
PERSON_00185,ORG_0015,Property Consultant,2024-03-23,
PERSON_00186,ORG_0029,Software Analyst,2023-07-29,
PERSON_00187,ORG_0050,Nurse,2022-12-07,2024-05-14
PERSON_00188,ORG_0001,Property Consultant,2024-02-17,
PERSON_00189,ORG_0043,Consultant,2021-08-25,
PERSON_00190,ORG_0046,Sales Executive,2020-01-01,2023-07-02
PERSON_00190,ORG_0051,Mechanic,2023-07-03,
PERSON_00191,ORG_0005,Jewellery Trader,2021-03-07,
PERSON_00192,ORG_0040,Driver,2020-12-19,
PERSON_00193,ORG_0003,Driver,2020-01-01,2024-02-22
PERSON_00193,ORG_0043,Engineer,2024-02-23,
PERSON_00194,ORG_0052,Mechanic,2023-08-23,
PERSON_00195,ORG_0037,Clerk,2020-01-01,2024-05-07
PERSON_00195,ORG_0022,Field Officer,2024-05-08,
PERSON_00196,ORG_0003,Receptionist,2020-01-01,2024-11-28
PERSON_00196,ORG_0018,Security Guard,2024-11-29,
PERSON_00197,ORG_0026,Jewellery Trader,2021-10-23,
PERSON_00198,ORG_0004,Mechanic,2021-09-20,2022-08-11
PERSON_00199,ORG_0050,Receptionist,2020-01-01,2024-07-05
PERSON_00199,ORG_0012,Accountant,2024-07-06,
PERSON_00200,ORG_0001,Accountant,2024-11-11,
PERSON_00201,ORG_0041,Sales Executive,2020-08-20,
PERSON_00202,ORG_0037,Teacher,2020-01-01,2023-08-16
PERSON_00202,ORG_0051,Consultant,2023-08-17,
PERSON_00203,ORG_0049,Accountant,2020-01-01,2023-10-13
PERSON_00203,ORG_0016,Engineer,2023-10-14,
PERSON_00204,ORG_0016,Driver,2020-01-01,2024-06-10
PERSON_00204,ORG_0036,Nurse,2024-06-11,
PERSON_00205,ORG_0011,Technician,2020-04-30,2021-09-16
PERSON_00206,ORG_0047,Shop Owner,2020-05-25,2021-09-18
PERSON_00207,ORG_0015,Mechanic,2024-04-05,
PERSON_00208,ORG_0023,Driver,2024-02-17,2025-03-30
PERSON_00209,ORG_0012,Electrician,2021-04-03,
PERSON_00210,ORG_0029,Sales Executive,2021-10-31,
PERSON_00211,ORG_0032,Engineer,2020-01-01,2023-08-07
PERSON_00211,ORG_0037,Technician,2023-08-08,
PERSON_00212,ORG_0028,Clerk,2021-05-02,
PERSON_00213,ORG_0047,Broker,2020-01-01,2023-05-01
PERSON_00213,ORG_0044,Mechanic,2023-05-02,
PERSON_00214,ORG_0010,Software Analyst,2023-08-14,
PERSON_00215,ORG_0025,Shop Owner,2020-01-01,2023-06-27
PERSON_00215,ORG_0038,Electrician,2023-06-28,
PERSON_00216,ORG_0047,Field Officer,2021-06-21,
PERSON_00217,ORG_0011,Jewellery Trader,2020-03-11,2021-01-12
PERSON_00218,ORG_0008,Consultant,2020-01-01,2024-03-24
PERSON_00218,ORG_0012,Software Analyst,2024-03-25,
PERSON_00219,ORG_0003,Teacher,2022-06-12,
PERSON_00220,ORG_0036,Accountant,2020-01-01,2023-02-11
PERSON_00220,ORG_0029,Warehouse Supervisor,2023-02-12,
PERSON_00221,ORG_0010,Shop Owner,2024-03-15,
PERSON_00222,ORG_0020,Warehouse Supervisor,2020-01-01,2023-06-21
PERSON_00222,ORG_0050,Consultant,2023-06-22,
PERSON_00223,ORG_0054,Teacher,2020-01-01,2023-12-22
PERSON_00223,ORG_0044,Agent,2023-12-23,
PERSON_00224,ORG_0055,Jewellery Trader,2020-07-30,
PERSON_00225,ORG_0002,Electrician,2022-04-29,2024-09-27
PERSON_00226,ORG_0014,Broker,2022-02-14,
PERSON_00227,ORG_0030,Agent,2023-09-02,
PERSON_00228,ORG_0033,Receptionist,2022-01-12,
PERSON_00229,ORG_0030,Warehouse Supervisor,2023-03-18,
PERSON_00230,ORG_0048,Receptionist,2020-05-11,
PERSON_00231,ORG_0026,Consultant,2022-03-29,2023-06-25
PERSON_00232,ORG_0006,Sales Executive,2024-01-05,2026-02-16
PERSON_00233,ORG_0016,Consultant,2020-10-01,2022-07-14
PERSON_00234,ORG_0025,Property Consultant,2023-01-05,
PERSON_00235,ORG_0026,Software Analyst,2020-01-01,2024-08-01
PERSON_00235,ORG_0004,Courier Supervisor,2024-08-02,
PERSON_00236,ORG_0014,Clerk,2021-12-18,
PERSON_00237,ORG_0044,Security Guard,2023-03-04,2025-07-03
PERSON_00238,ORG_0051,Engineer,2021-05-10,
PERSON_00239,ORG_0037,Engineer,2020-06-29,
PERSON_00240,ORG_0037,Jewellery Trader,2022-02-21,
PERSON_00241,ORG_0045,Technician,2020-06-02,
PERSON_00242,ORG_0023,Sales Executive,2021-05-20,
PERSON_00243,ORG_0035,Nurse,2024-03-10,2025-05-21
PERSON_00244,ORG_0044,Consultant,2022-12-26,
PERSON_00245,ORG_0022,Teacher,2020-01-01,2024-03-22
PERSON_00245,ORG_0010,Agent,2024-03-23,
PERSON_00246,ORG_0002,Accountant,2020-01-01,2024-11-17
PERSON_00246,ORG_0030,Jewellery Trader,2024-11-18,
PERSON_00247,ORG_0047,Accountant,2021-11-08,2022-11-28
PERSON_00248,ORG_0002,Nurse,2024-06-15,2025-02-20
PERSON_00249,ORG_0025,Nurse,2025-01-11,
PERSON_00250,ORG_0009,Jewellery Trader,2020-01-01,2023-02-25
PERSON_00250,ORG_0038,Clerk,2023-02-26,
PERSON_00251,ORG_0014,Warehouse Supervisor,2024-01-01,
PERSON_00252,ORG_0045,Courier Supervisor,2022-10-07,
PERSON_00253,ORG_0040,Software Analyst,2024-02-13,2026-03-01
PERSON_00254,ORG_0050,Security Guard,2020-01-01,2024-08-14
PERSON_00254,ORG_0024,Technician,2024-08-15,
PERSON_00255,ORG_0031,Jewellery Trader,2024-10-06,
PERSON_00256,ORG_0038,Teacher,2020-01-01,2023-06-30
PERSON_00256,ORG_0042,Teacher,2023-07-01,
PERSON_00257,ORG_0020,Broker,2020-01-01,2023-07-03
PERSON_00257,ORG_0040,Teacher,2023-07-04,
PERSON_00258,ORG_0046,Engineer,2020-01-01,2023-12-18
PERSON_00258,ORG_0031,Property Consultant,2023-12-19,
PERSON_00259,ORG_0051,Clerk,2022-06-13,
PERSON_00260,ORG_0019,Technician,2025-01-18,
PERSON_00261,ORG_0021,Warehouse Supervisor,2020-01-01,2023-06-03
PERSON_00261,ORG_0012,Technician,2023-06-04,
PERSON_00262,ORG_0045,Clerk,2022-07-19,2024-08-22
PERSON_00263,ORG_0010,Security Guard,2021-02-17,
PERSON_00264,ORG_0029,Security Guard,2020-01-01,2024-10-24
PERSON_00264,ORG_0031,Software Analyst,2024-10-25,
PERSON_00265,ORG_0031,Sales Executive,2020-01-01,2024-01-31
PERSON_00265,ORG_0041,Property Consultant,2024-02-01,
PERSON_00266,ORG_0006,Receptionist,2020-01-01,2023-04-11
PERSON_00266,ORG_0049,Mechanic,2023-04-12,
PERSON_00267,ORG_0047,Sales Executive,2023-07-22,2025-09-11
PERSON_00268,ORG_0039,Security Guard,2020-10-07,2022-01-26
PERSON_00269,ORG_0029,Nurse,2020-01-01,2023-11-03
PERSON_00269,ORG_0053,Agent,2023-11-04,
PERSON_00270,ORG_0035,Shop Owner,2020-01-01,2023-03-02
PERSON_00270,ORG_0025,Clerk,2023-03-03,
PERSON_00271,ORG_0027,Engineer,2021-04-01,
PERSON_00272,ORG_0038,Driver,2023-09-15,
PERSON_00273,ORG_0025,Property Consultant,2025-01-29,
PERSON_00274,ORG_0045,Mechanic,2022-09-19,
PERSON_00275,ORG_0045,Consultant,2020-01-01,2023-05-04
PERSON_00275,ORG_0031,Property Consultant,2023-05-05,
PERSON_00276,ORG_0003,Broker,2024-03-27,
PERSON_00277,ORG_0035,Electrician,2020-01-01,2024-11-03
PERSON_00277,ORG_0038,Driver,2024-11-04,
PERSON_00278,ORG_0004,Engineer,2022-06-06,
PERSON_00279,ORG_0023,Property Consultant,2020-03-01,
PERSON_00280,ORG_0018,Shop Owner,2020-01-01,2024-02-24
PERSON_00280,ORG_0001,Consultant,2024-02-25,
PERSON_00281,ORG_0020,Receptionist,2022-09-27,
PERSON_00282,ORG_0011,Electrician,2020-02-19,
PERSON_00283,ORG_0046,Jewellery Trader,2025-01-02,
PERSON_00284,ORG_0017,Broker,2020-01-01,2023-05-07
PERSON_00284,ORG_0008,Consultant,2023-05-08,
PERSON_00285,ORG_0035,Engineer,2024-10-04,
PERSON_00286,ORG_0021,Jewellery Trader,2024-05-01,2025-07-20
PERSON_00287,ORG_0025,Teacher,2020-01-01,2023-12-09
PERSON_00287,ORG_0051,Engineer,2023-12-10,
PERSON_00288,ORG_0046,Clerk,2020-07-16,2022-05-05
PERSON_00289,ORG_0024,Accountant,2020-07-03,
PERSON_00290,ORG_0004,Electrician,2020-01-01,2023-07-16
PERSON_00290,ORG_0033,Teacher,2023-07-17,
PERSON_00291,ORG_0018,Field Officer,2024-12-14,
PERSON_00292,ORG_0027,Driver,2020-01-01,2023-09-23
PERSON_00292,ORG_0047,Broker,2023-09-24,
PERSON_00293,ORG_0007,Shop Owner,2020-08-14,
PERSON_00294,ORG_0002,Property Consultant,2024-09-08,
PERSON_00295,ORG_0014,Receptionist,2020-01-01,2023-01-29
PERSON_00295,ORG_0024,Clerk,2023-01-30,
PERSON_00296,ORG_0011,Property Consultant,2022-08-16,
PERSON_00297,ORG_0004,Receptionist,2022-12-16,
PERSON_00298,ORG_0019,Technician,2022-06-08,
PERSON_00299,ORG_0036,Receptionist,2020-01-01,2023-08-28
PERSON_00299,ORG_0047,Software Analyst,2023-08-29,
PERSON_00300,ORG_0030,Shop Owner,2021-08-20,
PERSON_00301,ORG_0036,Property Consultant,2020-01-01,2024-01-14
PERSON_00301,ORG_0042,Driver,2024-01-15,
PERSON_00302,ORG_0037,Driver,2024-02-16,
PERSON_00303,ORG_0040,Driver,2021-08-30,2023-02-13
PERSON_00304,ORG_0032,Shop Owner,2020-01-01,2024-08-24
PERSON_00304,ORG_0022,Sales Executive,2024-08-25,
PERSON_00305,ORG_0003,Field Officer,2024-05-20,2025-10-21
PERSON_00306,ORG_0024,Teacher,2021-06-26,
PERSON_00307,ORG_0054,Mechanic,2020-10-30,
PERSON_00308,ORG_0030,Engineer,2020-01-01,2023-09-19
PERSON_00308,ORG_0026,Consultant,2023-09-20,
PERSON_00309,ORG_0017,Warehouse Supervisor,2020-01-01,2023-07-24
PERSON_00309,ORG_0029,Field Officer,2023-07-25,
PERSON_00310,ORG_0048,Courier Supervisor,2021-07-01,2022-04-04
PERSON_00311,ORG_0006,Warehouse Supervisor,2020-01-01,2024-07-05
PERSON_00311,ORG_0032,Software Analyst,2024-07-06,
PERSON_00312,ORG_0042,Electrician,2024-04-09,2026-01-24
PERSON_00313,ORG_0044,Nurse,2020-01-01,2023-08-29
PERSON_00313,ORG_0012,Security Guard,2023-08-30,
PERSON_00314,ORG_0030,Agent,2020-09-02,
PERSON_00315,ORG_0001,Electrician,2020-01-01,2023-07-13
PERSON_00315,ORG_0021,Software Analyst,2023-07-14,
PERSON_00316,ORG_0025,Sales Executive,2020-01-01,2023-02-02
PERSON_00316,ORG_0004,Shop Owner,2023-02-03,
PERSON_00317,ORG_0036,Field Officer,2023-02-16,
PERSON_00318,ORG_0025,Jewellery Trader,2020-12-25,
PERSON_00319,ORG_0021,Broker,2020-01-01,2023-04-10
