vehicle_id,owner_person_id,valid_from,valid_to
VEH_0079,PERSON_00197,2026-07-01,
VEH_0080,PERSON_00001,2023-08-02,
VEH_0081,PERSON_00013,2021-04-30,
VEH_0082,PERSON_00364,2023-10-19,
VEH_0083,PERSON_00446,2022-12-15,
VEH_0084,PERSON_00023,2021-03-24,
VEH_0085,PERSON_00187,2022-11-11,
VEH_0086,PERSON_00113,2021-04-10,
VEH_0087,PERSON_00102,2024-05-14,2025-05-10
VEH_0087,PERSON_00028,2025-05-11,
VEH_0088,PERSON_00066,2022-11-10,
VEH_0089,PERSON_00386,2024-03-16,
VEH_0090,PERSON_00116,2024-01-26,2025-01-21
VEH_0090,PERSON_00039,2025-01-22,
VEH_0091,PERSON_00175,2021-06-30,2023-05-15
VEH_0091,PERSON_00023,2023-05-16,
VEH_0092,PERSON_00444,2022-06-18,2024-01-05
VEH_0092,PERSON_00109,2024-01-06,
VEH_0093,PERSON_00146,2022-10-31,2025-01-23
VEH_0093,PERSON_00070,2025-01-24,
VEH_0094,PERSON_00111,2023-02-09,2024-02-07
VEH_0094,PERSON_00162,2024-02-08,
VEH_0095,PERSON_00244,2022-04-13,2024-02-11
VEH_0095,PERSON_00097,2024-02-12,
VEH_0096,PERSON_00276,2022-03-10,
VEH_0097,PERSON_00053,2022-01-12,2024-02-01
VEH_0097,PERSON_00089,2024-02-02,
VEH_0098,PERSON_00121,2022-09-02,
VEH_0099,PERSON_00325,2023-03-15,
VEH_0100,PERSON_00253,2022-03-16,2023-03-14
VEH_0100,PERSON_00215,2023-03-15,
VEH_0101,PERSON_00063,2023-06-25,
VEH_0102,PERSON_00292,2021-09-22,2023-08-21
VEH_0102,PERSON_00017,2023-08-22,2025-04-14
VEH_0102,PERSON_00387,2025-04-15,
VEH_0103,PERSON_00083,2022-07-31,2023-10-16
VEH_0103,PERSON_00207,2023-10-17,2024-04-21
VEH_0103,PERSON_00283,2024-04-22,
VEH_0104,PERSON_00450,2023-06-19,2024-07-04
VEH_0104,PERSON_00116,2024-07-05,
VEH_0105,PERSON_00206,2022-04-11,
VEH_0106,PERSON_00260,2023-05-28,2025-09-26
VEH_0106,PERSON_00060,2025-09-27,
VEH_0107,PERSON_00083,2022-08-26,
VEH_0108,PERSON_00381,2023-02-01,
VEH_0109,PERSON_00440,2024-04-29,
VEH_0110,PERSON_00018,2021-12-13,
VEH_0111,PERSON_00400,2023-10-27,2025-12-03
VEH_0111,PERSON_00237,2025-12-04,
VEH_0112,PERSON_00070,2023-11-23,
VEH_0113,PERSON_00044,2022-07-21,2023-01-22
VEH_0113,PERSON_00160,2023-01-23,2024-02-25
VEH_0113,PERSON_00368,2024-02-26,
VEH_0114,PERSON_00335,2023-12-20,
VEH_0115,PERSON_00104,2023-12-27,2024-10-31
VEH_0115,PERSON_00307,2024-11-01,
VEH_0116,PERSON_00028,2022-10-06,
VEH_0117,PERSON_00259,2023-07-19,2026-01-04
VEH_0117,PERSON_00398,2026-01-05,
VEH_0118,PERSON_00007,2022-06-16,
VEH_0119,PERSON_00369,2022-06-02,2023-11-05
VEH_0119,PERSON_00374,2023-11-06,
VEH_0120,PERSON_00280,2021-10-09,2022-03-30
VEH_0120,PERSON_00021,2022-03-31,
VEH_0121,PERSON_00373,2021-06-12,2022-04-21
VEH_0121,PERSON_00116,2022-04-22,
VEH_0122,PERSON_00029,2023-09-06,2025-08-12
VEH_0122,PERSON_00355,2025-08-13,
VEH_0123,PERSON_00151,2024-04-29,2026-04-26
VEH_0123,PERSON_00249,2026-04-27,
VEH_0124,PERSON_00275,2023-09-02,
VEH_0125,PERSON_00214,2023-07-26,
VEH_0126,PERSON_00020,2022-08-16,2024-04-05
VEH_0126,PERSON_00319,2024-04-06,
VEH_0127,PERSON_00201,2022-03-08,
VEH_0128,PERSON_00191,2023-12-23,
VEH_0129,PERSON_00098,2022-12-14,
VEH_0130,PERSON_00084,2021-11-02,2023-05-23
VEH_0130,PERSON_00388,2023-05-24,
VEH_0131,PERSON_00185,2021-01-24,
VEH_0132,PERSON_00444,2022-04-17,
VEH_0133,PERSON_00042,2023-04-14,
VEH_0134,PERSON_00257,2024-02-18,2026-05-15
VEH_0134,PERSON_00443,2026-05-16,
VEH_0135,PERSON_00364,2021-09-21,
VEH_0136,PERSON_00404,2022-11-20,
VEH_0137,PERSON_00241,2024-05-08,
VEH_0138,PERSON_00225,2023-09-11,
VEH_0139,PERSON_00225,2022-05-21,
VEH_0140,PERSON_00055,2021-07-08,
VEH_0141,PERSON_00056,2022-05-29,
VEH_0142,PERSON_00073,2022-09-21,
VEH_0143,PERSON_00156,2023-05-02,2024-11-17
VEH_0143,PERSON_00046,2024-11-18,2025-07-24
VEH_0143,PERSON_00231,2025-07-25,
VEH_0144,PERSON_00350,2023-11-03,2025-09-28
VEH_0144,PERSON_00080,2025-09-29,
VEH_0145,PERSON_00431,2022-01-08,
VEH_0146,PERSON_00422,2023-04-30,
VEH_0147,PERSON_00243,2022-01-04,
VEH_0148,PERSON_00146,2021-03-17,
VEH_0149,PERSON_00433,2024-06-20,
VEH_0150,PERSON_00093,2022-07-09,
VEH_0151,PERSON_00072,2022-04-23,2024-03-26
VEH_0151,PERSON_00253,2024-03-27,
VEH_0152,PERSON_00144,2021-05-16,2023-01-19
VEH_0152,PERSON_00016,2023-01-20,2025-01-03
VEH_0152,PERSON_00289,2025-01-04,
VEH_0153,PERSON_00087,2022-09-19,
VEH_0154,PERSON_00009,2022-04-26,
VEH_0155,PERSON_00372,2022-04-29,2024-03-29
VEH_0155,PERSON_00357,2024-03-30,
VEH_0156,PERSON_00362,2022-01-23,2023-11-30
VEH_0156,PERSON_00064,2023-12-01,2026-02-20
VEH_0156,PERSON_00219,2026-02-21,
VEH_0157,PERSON_00005,2024-01-29,
VEH_0158,PERSON_00176,2024-05-30,2025-04-06
VEH_0158,PERSON_00398,2025-04-07,
VEH_0159,PERSON_00020,2021-04-18,
VEH_0160,PERSON_00273,2021-09-12,2022-06-17
VEH_0160,PERSON_00143,2022-06-18,
VEH_0161,PERSON_00108,2023-11-03,2025-06-17
VEH_0161,PERSON_00194,2025-06-18,
VEH_0162,PERSON_00257,2024-05-18,
VEH_0163,PERSON_00357,2022-08-08,
VEH_0164,PERSON_00323,2022-06-23,
VEH_0165,PERSON_00128,2021-10-16,
VEH_0166,PERSON_00278,2024-05-16,
VEH_0167,PERSON_00204,2023-04-20,2024-07-18
VEH_0167,PERSON_00135,2024-07-19,
VEH_0168,PERSON_00147,2021-01-10,
VEH_0169,PERSON_00068,2023-12-16,
VEH_0170,PERSON_00201,2021-01-07,
VEH_0171,PERSON_00316,2022-06-09,2024-04-19
VEH_0171,PERSON_00113,2024-04-20,
VEH_0172,PERSON_00207,2022-09-27,
VEH_0173,PERSON_00170,2021-04-19,
VEH_0174,PERSON_00082,2023-07-11,2025-11-01
VEH_0174,PERSON_00260,2025-11-02,
VEH_0175,PERSON_00363,2021-03-06,
VEH_0176,PERSON_00169,2023-07-10,
VEH_0177,PERSON_00106,2023-10-15,
VEH_0178,PERSON_00332,2021-12-19,
VEH_0179,PERSON_00268,2022-02-08,
VEH_0180,PERSON_00372,2023-06-19,
VEH_0181,PERSON_00421,2021-12-28,
VEH_0182,PERSON_00005,2021-11-09,
VEH_0183,PERSON_00263,2023-08-26,2024-08-02
VEH_0183,PERSON_00411,2024-08-03,
VEH_0184,PERSON_00100,2023-06-25,
VEH_0185,PERSON_00310,2023-03-02,
VEH_0186,PERSON_00432,2021-01-23,
VEH_0187,PERSON_00170,2023-06-03,
VEH_0188,PERSON_00443,2022-12-16,
VEH_0189,PERSON_00437,2021-11-21,
VEH_0190,PERSON_00049,2023-12-18,2025-04-05
VEH_0190,PERSON_00001,2025-04-06,
VEH_0191,PERSON_00437,2023-06-26,
VEH_0192,PERSON_00064,2021-06-19,
VEH_0193,PERSON_00015,2023-10-19,
VEH_0194,PERSON_00303,2022-12-10,
VEH_0195,PERSON_00274,2021-06-13,
VEH_0196,PERSON_00315,2023-07-29,
VEH_0197,PERSON_00392,2022-03-09,
VEH_0198,PERSON_00216,2023-04-30,
VEH_0199,PERSON_00255,2023-09-21,
VEH_0200,PERSON_00212,2021-04-13,
VEH_0201,PERSON_00180,2021-10-06,
VEH_0202,PERSON_00447,2022-02-16,
VEH_0203,PERSON_00334,2023-05-16,
VEH_0204,PERSON_00121,2023-03-09,
VEH_0205,PERSON_00199,2023-07-23,
VEH_0206,PERSON_00261,2022-06-19,2023-03-23
VEH_0206,PERSON_00285,2023-03-24,
VEH_0207,PERSON_00132,2021-06-11,2023-09-10
VEH_0207,PERSON_00404,2023-09-11,
VEH_0208,PERSON_00006,2021-03-02,
VEH_0209,PERSON_00337,2024-03-19,2025-01-10
VEH_0209,PERSON_00215,2025-01-11,
VEH_0210,PERSON_00268,2024-02-23,
VEH_0211,PERSON_00137,2021-07-14,2023-04-15
VEH_0211,PERSON_00003,2023-04-16,2024-07-31
VEH_0211,PERSON_00095,2024-08-01,
VEH_0212,PERSON_00390,2022-09-02,
VEH_0213,PERSON_00300,2021-11-02,
VEH_0214,PERSON_00060,2021-12-11,
VEH_0215,PERSON_00109,2021-08-20,2022-10-15
VEH_0215,PERSON_00034,2022-10-16,
VEH_0216,PERSON_00117,2023-01-09,
VEH_0217,PERSON_00032,2021-09-09,
VEH_0218,PERSON_00448,2022-12-31,
VEH_0219,PERSON_00022,2021-10-13,
VEH_0220,PERSON_00030,2021-02-17,2022-08-18
VEH_0220,PERSON_00235,2022-08-19,
VEH_0221,PERSON_00246,2024-03-10,
VEH_0222,PERSON_00016,2022-06-01,2024-04-14
VEH_0222,PERSON_00022,2024-04-15,2024-10-31
VEH_0222,PERSON_00062,2024-11-01,
VEH_0223,PERSON_00232,2021-09-12,2023-11-21
VEH_0223,PERSON_00145,2023-11-22,
VEH_0224,PERSON_00407,2023-06-24,
VEH_0225,PERSON_00412,2024-02-19,
VEH_0226,PERSON_00259,2021-06-04,2022-09-16
VEH_0226,PERSON_00397,2022-09-17,
VEH_0227,PERSON_00298,2021-02-26,
VEH_0228,PERSON_00373,2021-01-22,
VEH_0229,PERSON_00295,2022-03-22,2024-08-18
VEH_0229,PERSON_00383,2024-08-19,
VEH_0230,PERSON_00394,2022-01-23,
