case_member_id,case_id,person_id,role
CM00096,C0014,P0101,UNKNOWN
CM00097,C0014,P0060,UNKNOWN
CM00098,C0014,P0094,ASSOCIATE
CM00099,C0014,P0173,ASSOCIATE
CM00100,C0014,P0157,SUBJECT
CM00101,C0014,P0169,UNKNOWN
CM00102,C0014,P0115,WITNESS
CM00103,C0014,P0004,UNKNOWN
CM00104,C0015,P0061,UNKNOWN
CM00105,C0015,P0122,ASSOCIATE
CM00106,C0015,P0156,UNKNOWN
CM00107,C0015,P0101,ASSOCIATE
CM00108,C0015,P0145,WITNESS
CM00109,C0015,P0153,WITNESS
CM00110,C0015,P0013,COMPLAINANT
CM00111,C0015,P0005,ASSOCIATE
CM00112,C0015,P0117,WITNESS
CM00113,C0016,P0051,SUBJECT
CM00114,C0016,P0050,ASSOCIATE
CM00115,C0016,P0119,COMPLAINANT
CM00116,C0016,P0136,WITNESS
CM00117,C0016,P0069,WITNESS
CM00118,C0016,P0073,ASSOCIATE
CM00119,C0017,P0063,UNKNOWN
CM00120,C0017,P0057,ASSOCIATE
CM00121,C0017,P0014,WITNESS
CM00122,C0017,P0040,WITNESS
CM00123,C0017,P0013,SUBJECT
CM00124,C0017,P0150,SUBJECT
CM00125,C0017,P0036,WITNESS
CM00126,C0017,P0034,SUBJECT
CM00127,C0018,P0071,SUBJECT
CM00128,C0018,P0110,UNKNOWN
CM00129,C0018,P0177,WITNESS
CM00130,C0018,P0064,WITNESS
CM00131,C0018,P0100,SUBJECT
CM00132,C0019,P0064,UNKNOWN
CM00133,C0019,P0153,WITNESS
CM00134,C0019,P0005,UNKNOWN
CM00135,C0019,P0116,COMPLAINANT
CM00136,C0019,P0015,COMPLAINANT
CM00137,C0019,P0042,SUBJECT
CM00138,C0019,P0127,WITNESS
CM00139,C0020,P0044,WITNESS
CM00140,C0020,P0112,ASSOCIATE
CM00141,C0020,P0141,SUBJECT
CM00142,C0020,P0114,ASSOCIATE
CM00143,C0020,P0176,COMPLAINANT
CM00144,C0020,P0117,SUBJECT
CM00145,C0020,P0021,SUBJECT
CM00146,C0020,P0162,UNKNOWN
CM00147,C0021,P0017,ASSOCIATE
CM00148,C0021,P0157,SUBJECT
CM00149,C0021,P0040,ASSOCIATE
CM00150,C0021,P0115,SUBJECT
CM00151,C0021,P0162,UNKNOWN
CM00152,C0021,P0018,COMPLAINANT
CM00153,C0022,P0117,WITNESS
CM00154,C0022,P0113,WITNESS
CM00155,C0022,P0007,ASSOCIATE
CM00156,C0022,P0061,WITNESS
CM00157,C0022,P0049,UNKNOWN
CM00158,C0022,P0100,UNKNOWN
CM00159,C0022,P0116,SUBJECT
CM00160,C0022,P0062,ASSOCIATE
CM00161,C0022,P0052,COMPLAINANT
CM00162,C0022,P0019,ASSOCIATE
CM00163,C0023,P0133,WITNESS
CM00164,C0023,P0056,SUBJECT
CM00165,C0023,P0007,WITNESS
CM00166,C0024,P0010,WITNESS
CM00167,C0024,P0047,SUBJECT
CM00168,C0024,P0022,ASSOCIATE
CM00169,C0024,P0025,WITNESS
CM00170,C0024,P0013,ASSOCIATE
CM00171,C0025,P0022,ASSOCIATE
CM00172,C0025,P0024,SUBJECT
CM00173,C0025,P0129,WITNESS
CM00174,C0025,P0165,COMPLAINANT
CM00175,C0025,P0164,ASSOCIATE
CM00176,C0025,P0004,ASSOCIATE
CM00177,C0025,P0081,COMPLAINANT
CM00178,C0026,P0125,COMPLAINANT
CM00179,C0026,P0124,UNKNOWN
CM00180,C0026,P0149,WITNESS
CM00181,C0026,P0066,UNKNOWN
CM00182,C0026,P0039,WITNESS
CM00183,C0026,P0024,COMPLAINANT
CM00184,C0026,P0040,WITNESS
CM00185,C0026,P0059,WITNESS
CM00186,C0026,P0088,WITNESS
CM00187,C0027,P0136,UNKNOWN
CM00188,C0027,P0094,COMPLAINANT
CM00189,C0027,P0119,COMPLAINANT
CM00190,C0027,P0148,UNKNOWN
CM00191,C0027,P0083,SUBJECT
CM00192,C0027,P0009,WITNESS
CM00193,C0028,P0148,COMPLAINANT
CM00194,C0028,P0095,COMPLAINANT
CM00195,C0028,P0090,ASSOCIATE
CM00196,C0028,P0040,SUBJECT
CM00197,C0028,P0126,UNKNOWN
CM00198,C0028,P0068,UNKNOWN
CM00199,C0028,P0140,SUBJECT
CM00200,C0028,P0127,WITNESS
CM00201,C0029,P0175,UNKNOWN
CM00202,C0029,P0119,UNKNOWN
CM00203,C0029,P0124,SUBJECT
CM00204,C0029,P0026,COMPLAINANT
CM00205,C0029,P0162,UNKNOWN
CM00206,C0029,P0156,ASSOCIATE
CM00207,C0030,P0180,UNKNOWN
CM00208,C0030,P0056,UNKNOWN
CM00209,C0030,P0064,SUBJECT
CM00210,C0030,P0169,SUBJECT
CM00211,C0031,P0102,WITNESS
CM00212,C0031,P0014,SUBJECT
CM00213,C0031,P0023,SUBJECT
CM00214,C0031,P0061,WITNESS
CM00215,C0032,P0048,COMPLAINANT
CM00216,C0032,P0035,SUBJECT
CM00217,C0032,P0070,ASSOCIATE
CM00218,C0032,P0029,ASSOCIATE
CM00219,C0032,P0036,WITNESS
CM00220,C0032,P0061,UNKNOWN
CM00221,C0032,P0105,ASSOCIATE
CM00222,C0033,P0078,WITNESS
CM00223,C0033,P0140,COMPLAINANT
CM00224,C0033,P0015,COMPLAINANT
CM00225,C0033,P0114,WITNESS
CM00226,C0034,P0150,COMPLAINANT
CM00227,C0034,P0065,SUBJECT
CM00228,C0034,P0159,COMPLAINANT
CM00229,C0034,P0135,COMPLAINANT
CM00230,C0035,P0097,COMPLAINANT
CM00231,C0035,P0180,ASSOCIATE
CM00232,C0035,P0137,COMPLAINANT
CM00233,C0035,P0172,SUBJECT
CM00234,C0036,P0085,ASSOCIATE
CM00235,C0036,P0164,UNKNOWN
CM00236,C0036,P0093,ASSOCIATE
CM00237,C0024,P0023,SUBJECT
CM00238,C0018,P0023,SUBJECT
CM00239,C0033,P0023,SUBJECT
CM00240,C0035,P0023,SUBJECT
CM00241,C0026,P0057,SUBJECT
CM00242,C0036,P0057,SUBJECT
CM00243,C0017,P0057,SUBJECT
CM00244,C0007,P0057,SUBJECT
CM00245,C0035,P0091,SUBJECT
CM00246,C0026,P0091,SUBJECT
CM00247,C0004,P0091,SUBJECT
CM00248,C0036,P0091,SUBJECT
CM00249,C0008,P0124,SUBJECT
CM00250,C0029,P0124,SUBJECT
CM00251,C0014,P0124,SUBJECT
CM00252,C0007,P0124,SUBJECT
CM00253,C0007,P0150,SUBJECT
CM00254,C0028,P0150,SUBJECT
CM00255,C0002,P0150,SUBJECT
CM00256,C0020,P0150,SUBJECT
